MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.126396,-0.036158,0.419746,0.004165,0.031138,0.004348,0.045678,0.031606,0.092351,-1.047132,-0.096301,-0.032343,0.394308,-0.00282,0.013367,0.010358,0.063406,-0.258852,-0.036439,-1.40554,0.047541,0.02577,-0.014593,-0.001468,0.006915,0.005357,0.070108,-0.323727,-0.07297,-0.885649,0.072712,0.017889,-0.061168,0.002013,0.010976,0.007372,0.016294,0.01836,0.065644,-0.853375
0.124509,-0.033472,0.42071,0.000459,0.019272,-0.020193,0.035643,-0.317321,-0.055852,-0.055235,-0.105213,-0.023867,0.390396,-0.054415,0.07631,-0.057811,0.629219,-0.250077,0.931805,-0.435136,0.043104,0.029979,-0.016528,-0.02715,0.038165,-0.02887,1.674264,-1.782485,5.124749,-0.478893,0.071766,0.019251,-0.060666,0.007124,0.013377,-0.015951,0.06127,-0.515911,-0.069067,-0.289533
0.073787,-0.029503,0.425264,-0.035712,-0.034139,0.009655,-0.059149,0.031939,0.045803,0.381821,-0.130676,0.001829,0.375583,-0.014512,0.009516,0.007724,-0.000361,0.002744,-0.003317,0.156226,0.030356,0.042862,-0.023951,-0.01384,0.003991,0.00395,-0.000748,0.005497,-0.006653,0.040535,0.046419,0.021256,-0.058401,-0.011288,-0.019099,0.003533,-0.069339,-0.002675,0.033612,0.332277
0.072632,-0.030659,0.40858,0.070975,0.013197,-0.039958,0.105022,-0.118778,0.195035,-1.907821,-0.134084,0.003483,0.375798,5e-06,-4.1e-05,-2.8e-05,2.892313,0.609188,4.665716,0.068778,0.028652,0.043696,-0.023844,-0.0,-2.5e-05,-1.6e-05,-2.1e-05,9e-06,-4.8e-05,-0.082913,0.045772,0.020645,-0.066708,0.035404,0.006269,-0.020265,0.056575,-0.098467,0.168016,-0.848967
0.111306,-0.024914,0.402127,0.012596,-0.022674,0.017513,-0.057199,0.10139,0.039164,-0.702845,-0.102329,-0.013692,0.384178,0.009654,0.023404,-0.001127,-0.1534,0.400147,0.308008,-0.727689,0.044523,0.035088,-0.019655,0.004923,0.011203,-0.000948,-0.228781,0.434996,0.302217,-0.834213,0.065161,0.023548,-0.06997,0.006403,-0.00682,0.003553,-0.049945,0.048425,0.04384,-0.675389
0.111902,-0.035381,0.405724,0.001229,0.005387,0.003936,0.001468,-0.009669,0.027107,-1.336834,-0.092208,-0.00127,0.390964,-0.028137,-0.001824,0.033894,-0.067869,0.095406,-0.417071,-1.083561,0.049585,0.041323,-0.016253,-0.014033,-0.001196,0.016757,-0.090104,0.165442,-0.382282,-0.873402,0.06546,0.018292,-0.068175,0.000673,0.002957,0.002156,0.008014,-0.011245,0.027317,-0.890932
0.125876,-0.02917,0.425895,-0.00043,-0.019188,0.020319,-0.043393,0.159572,-0.025959,-0.979786,-0.093926,-0.01392,0.397471,0.01433,-0.004492,0.012016,-0.078319,0.330303,0.205066,-1.221558,0.048722,0.034986,-0.013012,0.00649,0.001963,0.000656,0.004063,0.41487,0.090399,-0.865238,0.072453,0.021424,-0.058084,0.006537,-0.014298,0.015176,-0.078091,0.18431,0.020421,-0.892075
0.12177,-0.030025,0.436103,-0.013718,-0.00866,0.011052,-0.165078,-0.085451,0.419321,-1.024997,-0.085054,-0.015892,0.400276,0.013614,0.001635,-0.000316,-0.048568,0.570181,0.042561,-1.40573,0.053152,0.034,-0.011597,0.000247,-0.000975,-0.000688,-0.026034,0.897497,0.139068,-0.880424,0.070408,0.020987,-0.05298,-0.006616,-0.003954,0.005883,-1.456885,-1.20268,5.150737,-0.939266
0.119398,-0.031501,0.431611,-0.000683,0.004885,-0.013116,0.029603,-0.009601,0.017434,-0.746327,-0.075478,-0.012347,0.404172,0.00109,-0.00711,0.011608,-0.171836,-0.97686,-0.505018,-0.235053,0.057951,0.035777,-0.00966,0.000711,-0.004166,0.00537,-0.317632,-1.30752,-0.510315,-0.414719,0.069211,0.020243,-0.055223,-0.000352,0.002368,-0.006602,0.036204,-0.011503,0.018449,-0.765035
0.118022,-0.028835,0.427976,-0.013255,0.002476,0.001749,-0.000984,0.014715,-0.029553,-0.697412,-0.074469,-0.016493,0.41375,-0.009664,-0.021846,0.019573,0.053759,-0.4799,0.169745,0.214365,0.058458,0.033713,-0.004872,0.001732,-0.009409,0.0101,0.075983,-0.540961,-0.025545,0.110423,0.068528,0.021575,-0.057042,8.4e-05,0.000407,0.000254,-1.5e-05,-2e-06,-1.3e-05,-0.748543
0.117952,-0.028568,0.428131,0.0,0.0,0.0,-0.027814,-0.108439,-0.032478,-0.658633,-0.076815,-0.017332,0.426993,0.002108,-0.007621,-0.004761,0.111227,-0.328973,0.072871,-0.585605,0.057278,0.033296,0.001764,-0.005393,-0.005411,-0.00276,0.166885,-0.414781,-0.206395,-0.621119,0.068488,0.021709,-0.056964,2e-06,-3e-06,-3e-06,-0.033257,-0.12965,-0.038905,-0.708537
0.119288,-0.028562,0.428851,0.0,0.0,0.0,0.0,0.0,0.0,-0.731493,-0.080103,-0.011338,0.404841,-0.001493,0.008633,-0.010555,0.027504,0.020737,0.031767,-1.407104,0.055637,0.036282,-0.009319,-0.000732,0.0043,-0.005284,0.041603,-0.019675,0.012199,-0.852501,0.069156,0.021712,-0.056604,0.006618,-0.005341,0.004638,-0.034932,-0.002922,0.011104,-0.755564
0.121532,-0.027923,0.430206,0.01373,0.000298,-6.1e-05,0.139088,0.103591,-0.433579,-0.774527,-0.092302,-0.009321,0.388908,-0.041446,0.001417,-0.011251,0.05251,0.032173,-0.02859,-1.406938,0.049554,0.037288,-0.017283,-0.014099,0.002135,-0.005319,0.10915,-0.010127,0.08644,-0.855277,0.070278,0.022031,-0.055926,0.006867,0.000168,-2.2e-05,0.141282,0.1056,-0.437892,-0.788876
0.124133,-0.02629,0.431205,0.000708,0.003724,0.002225,0.0,0.0,-0.0,-0.816047,-0.11373,-0.008074,0.387283,0.000251,-0.001478,-0.001019,-0.111324,1.336625,-0.019853,-1.406119,0.038823,0.03792,-0.018094,0.000185,-0.001095,-0.000752,0.476828,1.168644,-0.561263,-0.878628,0.071578,0.022848,-0.055427,0.000362,0.001913,0.001141,-0.000205,-0.000172,0.000244,-0.816635
0.143946,-0.017676,0.434975,0.040908,0.01243,0.005596,0.005937,-0.060079,0.143984,-1.903646,-0.133008,-0.005146,0.39795,-0.028084,0.015241,0.011644,0.015122,-0.079121,-0.256309,-1.407366,0.029212,0.039365,-0.012775,-0.020537,0.006668,0.005787,0.03963,-0.119011,-0.337861,-0.850215,0.081459,0.027143,-0.053547,0.01399,0.006838,0.003306,0.004585,-0.061062,0.112333,-0.908241
0.144928,-0.012858,0.424718,-0.013645,0.032846,-0.04324,-1.870088,-1.100501,-1.967687,0.022962,-0.132769,0.001116,0.393359,-0.003364,0.026722,-0.014885,0.044305,0.076926,0.329953,0.218891,0.029306,0.042496,-0.015056,-0.001009,0.008173,-0.002797,0.010105,0.075927,0.306434,0.109933,0.08198,0.029555,-0.058653,-0.000263,0.016296,-0.021886,1.048643,-1.305696,-1.338361,-0.191232
