MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.149083,-0.050149,0.317246,-0.000208,-0.001578,-0.001901,0.0,0.0,-0.0,-0.267269,-0.192369,-0.040637,0.318348,-0.214319,0.045139,0.003263,4.247038,1.576315,5.626954,-0.567753,0.031466,0.024358,-0.020864,-0.107228,0.021733,0.001013,4.199903,1.578262,5.684519,-0.691823,0.074338,0.014359,-0.066485,-0.000101,0.004323,-0.005624,0.034381,-0.013135,0.019014,-0.42882
0.14818,-0.050663,0.316879,-5e-06,-3.4e-05,-4.1e-05,0.0,0.0,0.0,-0.099775,-0.212263,-0.045278,0.334408,0.000653,0.004607,0.004923,0.143197,-0.026231,-0.022634,0.53107,0.021514,0.021992,-0.012879,0.000362,0.002547,0.00272,0.267492,0.508616,-0.675632,0.522569,0.073887,0.0141,-0.066671,3e-06,2e-05,2.3e-05,-5e-06,1e-06,-3e-06,-0.314353
0.149521,-0.040245,0.303422,-0.01562,0.052039,-0.045737,-0.106156,-0.370296,-1.028503,0.106972,-0.191359,-0.027341,0.324892,0.118604,-0.031515,-0.001199,0.314669,-0.956342,-0.66798,-1.384776,0.031923,0.030989,-0.017616,0.066703,-0.015775,-0.001221,-0.690183,-0.962195,-1.319219,-0.926635,0.074568,0.019268,-0.073369,-0.007765,0.026071,-0.022797,0.130698,-1.18187,-0.566701,-0.09685
0.141805,-0.025103,0.28268,0.000532,0.003317,0.004402,0.000543,-0.015808,0.024092,0.469573,-0.169343,-0.039877,0.330161,-0.015972,0.006169,-0.012147,-0.082693,0.149848,0.039471,-0.862175,0.042983,0.024713,-0.014973,-0.000449,0.003771,-0.006043,-0.135144,0.178802,0.124191,-0.917001,0.070699,0.026878,-0.083774,9.5e-05,-0.004311,0.005755,-0.036439,0.012204,-0.019066,0.447887
0.144159,-0.023415,0.28402,0.000848,0.005579,0.007279,-0.003211,0.093872,-0.141785,0.480681,-0.171357,-0.036942,0.325229,-2.1e-05,-0.001259,-0.001349,-0.0,0.0,0.0,-0.801746,0.04197,0.026184,-0.017443,-1.3e-05,-0.000815,-0.000872,-4.1e-05,-4e-06,-1.7e-05,-0.948353,0.071876,0.027724,-0.083102,0.000395,0.002621,0.003421,0.000101,-0.015805,0.024068,0.469931
0.141788,-0.025161,0.288315,0.015798,0.001948,0.002828,0.000601,-0.672128,1.065189,-0.192575,-0.170083,-0.036451,0.324358,-0.000883,0.009957,-0.009521,0.035994,-0.009024,0.019073,-0.669331,0.042607,0.026426,-0.017875,-3e-06,-0.000495,-0.00053,0.007023,-0.006689,-0.002897,-0.933167,0.070691,0.026849,-0.080956,0.007922,0.001127,0.001614,-0.005194,-0.736236,1.118901,-0.310598
0.160699,-0.002232,0.296105,-0.000921,0.035681,-0.041894,-0.316082,-0.486229,-0.706848,-1.566423,-0.163299,-0.036549,0.28766,0.143278,-3.6e-05,0.052549,0.531233,-1.678741,-0.388336,-1.081785,0.045999,0.026315,-0.036311,0.071642,0.00192,0.028743,0.487189,-1.627132,-0.349367,-1.017261,0.080147,0.038317,-0.077026,0.006822,0.011828,-0.017517,-0.389496,-1.076268,-0.030697,-1.097821
0.157771,-0.022557,0.312898,-0.002003,0.013436,-0.046324,-0.048146,-0.603356,-0.345531,-1.366068,-0.139112,-0.039913,0.306006,0.027759,0.042566,0.047866,-0.635883,-1.465538,0.603888,-0.666314,0.058095,0.024669,-0.027091,0.013787,0.022103,0.024919,-0.680215,-1.375057,0.698053,-0.793227,0.078684,0.028162,-0.068629,-0.001047,0.00598,-0.023953,-0.054441,-0.646893,-0.406404,-0.990703
0.166367,-0.01093,0.321179,6.6e-05,-0.011603,0.007738,-0.035625,0.013011,-0.01825,-1.229083,-0.129994,-0.021642,0.329857,0.014975,0.000411,0.037165,1.081337,1.956141,-1.503634,0.353468,0.062647,0.03383,-0.015146,0.000161,-0.000308,0.018991,-0.066023,-0.121446,0.218283,0.274204,0.082975,0.033977,-0.064525,2.4e-05,-0.005899,0.00377,-0.035526,0.012816,-0.018021,-1.07839
0.168002,-0.013375,0.32481,0.015661,0.017862,0.017004,0.015156,0.124318,-0.06047,-1.100742,-0.126009,-0.0203,0.335056,-0.03123,0.012278,-0.098407,-0.201107,0.404918,0.360564,-1.406391,0.064658,0.034507,-0.012446,-0.015462,0.005338,-0.049925,0.27371,0.169559,0.224467,-0.944597,0.083785,0.032717,-0.062732,0.007821,0.008874,0.008443,-0.014066,0.139765,-0.109815,-1.065817
0.190981,-0.026509,0.338134,0.029245,0.007393,0.005759,0.002061,-0.029229,0.059209,-1.224233,-0.166888,-0.035421,0.304116,-0.030554,0.011497,0.01696,0.00362,0.02258,-0.02123,-1.383866,0.044222,0.026924,-0.028027,-0.015282,0.006479,0.009378,0.107128,0.01875,0.094132,-0.973336,0.095277,0.026176,-0.056044,0.007084,0.009521,-0.000749,0.034827,-0.044066,0.075179,-1.100434
0.213841,-0.013623,0.344956,0.012382,0.025773,0.003529,0.03671,-0.035769,0.074069,-1.298771,-0.172239,-0.037507,0.325738,-0.013168,-0.012309,0.028551,0.209996,-0.504881,-0.340203,-1.396967,0.041534,0.025898,-0.017208,0.000512,-0.000281,0.009799,-0.026169,-0.027189,0.021374,-1.016608,0.106713,0.032612,-0.052632,0.006526,0.008031,0.006554,0.003265,-0.043583,0.08074,-1.10468
0.238005,-0.014095,0.354584,0.016667,-0.023162,0.015046,0.054807,0.379108,0.172768,-1.916295,-0.178195,-0.028409,0.339019,0.000863,-0.007828,0.011497,0.050518,-0.110114,-0.0874,-1.404794,0.038551,0.030449,-0.01055,0.000426,-0.003884,0.005779,0.048093,-0.107937,-0.08694,-1.007464,0.118799,0.032387,-0.047816,0.008343,-0.011655,0.00745,0.074271,0.407212,0.171185,-1.092923
0.244222,-0.024615,0.361092,-0.000224,0.001401,0.001204,0.015528,-0.015075,-0.039094,-1.915136,-0.17628,-0.039868,0.339477,-0.014787,0.003604,0.004856,-0.000167,0.00232,-0.003538,-1.402596,0.039514,0.024714,-0.010327,-0.007404,0.001538,0.00217,-0.005268,0.019302,-0.027445,-1.00828,0.121908,0.027127,-0.044562,-0.00013,0.000817,0.0007,0.052781,-0.057723,-0.130746,-1.099618
0.225069,-0.02344,0.354097,-0.060279,0.03484,-0.056522,-0.398106,-1.105182,-0.979165,-1.444116,-0.17685,-0.032198,0.338711,-0.001656,0.018569,-0.020284,-0.560239,0.736501,0.694722,-0.072272,0.039223,0.028562,-0.010697,-0.000826,0.009029,-0.010387,-0.476913,0.64986,0.662352,-0.343688,0.112353,0.027702,-0.048039,-0.029647,0.011965,-0.023893,-0.002655,-1.052845,-0.348819,-0.910854
0.203978,0.012192,0.267745,0.013593,0.010468,-0.053213,-1.454053,0.183117,-0.914336,-0.121694,-0.182783,-0.011603,0.342275,-0.012194,0.01715,0.033903,-0.048239,0.135629,-0.111993,0.53186,0.036261,0.038829,-0.008949,0.00093,0.009239,0.017024,0.048141,0.073253,0.151033,0.522895,0.10178,0.045515,-0.09123,-0.000825,0.011308,-0.029434,-4.401258,2.932154,-2.309158,-0.31272
0.169238,-0.004335,0.270576,-0.014348,-0.004538,0.016918,0.033335,0.149903,0.326727,0.093131,-0.187245,0.000905,0.36889,0.002113,0.020251,0.030481,0.403617,-0.445358,-0.196161,0.534464,0.034025,0.045084,0.004365,0.001393,0.005521,0.020189,0.348692,-0.467046,-0.484572,0.523385,0.084417,0.03727,-0.089816,-0.007197,-0.002393,0.008319,0.049646,0.185572,0.366646,-0.094891
0.164074,-0.004779,0.277127,-0.043492,0.002348,0.025483,0.113926,0.655852,0.153004,0.163407,-0.165096,0.007864,0.358198,0.040893,-0.021693,-0.002444,-0.237374,-0.215332,-0.386896,-0.63592,0.045099,0.048583,-0.000961,0.020471,-0.010706,-0.001152,-0.236016,-0.210296,-0.381765,-0.82017,0.081851,0.037043,-0.086556,-0.014336,0.000796,0.012196,0.163853,0.775704,0.275009,0.002267
0.154851,0.003817,0.29197,0.001425,0.002156,0.022686,0.081189,0.331717,0.279972,0.488556,-0.161923,-0.007483,0.368919,0.013512,0.000841,-0.00049,0.002253,-0.015374,0.029148,-0.832437,0.046687,0.040912,0.004401,0.006757,0.000401,-0.000259,-0.003079,-0.011844,0.030256,-0.962396,0.077223,0.041344,-0.07913,0.0006,-0.005083,0.014675,0.155665,0.538786,0.413503,0.470421
0.14381,0.003106,0.299537,-0.013835,-0.005205,0.014224,-0.035782,0.014079,-0.02257,0.473525,-0.161076,-0.005089,0.366816,6e-06,-0.000202,-0.000148,-0.008713,0.007106,0.004146,-0.598109,0.04711,0.042109,0.003349,5e-06,-0.00011,-8e-05,0.016304,-0.006252,0.000717,-0.793717,0.071707,0.040987,-0.075347,-0.006804,0.002967,0.003116,-0.001364,-0.003638,-0.007371,0.453766
0.14101,0.004775,0.302711,0.000194,0.001261,0.001313,0.140865,0.365908,0.25192,0.234041,-0.160918,-0.004673,0.365775,0.0,-1.6e-05,-1.1e-05,-0.0,-0.0,0.0,-0.536727,0.047189,0.042316,0.002828,-0.0,2.5e-05,1.8e-05,0.000272,0.000484,-0.000303,-0.731176,0.070301,0.041817,-0.073757,0.000134,0.00087,0.000913,0.213873,0.502875,0.34711,0.099588
0.151744,0.038558,0.32159,-0.025115,0.0179,-0.00195,-0.297163,-0.538376,-0.439373,-1.915318,-0.163244,0.004866,0.315171,0.169188,-0.0273,-0.023359,0.499309,-0.245133,-0.535652,-0.056896,0.045962,0.047053,-0.022504,0.084596,-0.012483,-0.010669,0.80323,-0.055986,-0.550345,-0.22171,0.075682,0.058741,-0.064285,-0.006159,0.007856,-0.001935,-0.444189,-0.61925,-0.679119,-1.071368
0.152457,0.011437,0.347176,-0.011382,0.018858,0.014667,-0.198775,-0.385938,-0.193518,-1.712517,-0.139914,0.00482,0.329138,0.00607,-0.052677,0.02518,-0.301595,-1.286457,-1.24149,-0.341614,0.057691,0.047064,-0.015516,-0.003252,-0.032105,0.017214,-1.406184,-1.72542,-1.687169,-0.525594,0.076032,0.045166,-0.05151,-0.005714,0.014233,0.002626,-0.314193,-0.601099,-0.296433,-0.993806
0.157303,0.012985,0.351841,-2.9e-05,-0.000306,-0.000226,-0.013311,-0.030367,-0.017227,-1.684786,-0.142763,0.00785,0.3492,0.013591,0.002291,0.017347,-0.03248,-0.021469,0.034665,0.184935,0.056262,0.048577,-0.005466,0.00676,0.001441,0.008903,-0.032062,-0.021096,0.03526,0.056864,0.078448,0.045922,-0.049191,0.006622,-0.000409,-0.000442,0.004756,-0.02701,0.022359,-1.063694
