MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.149911,-0.05662,0.309246,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.026741,-0.159564,-0.04769,0.297926,4e-06,-0.000401,-0.000529,0.0,0.0,0.0,0.535981,0.046774,0.018182,-0.019801,1.4e-05,-0.000853,-0.001119,0.002803,4.7e-05,0.001691,-0.977745,0.073999,0.013996,-0.063203,-0.0,1e-06,6e-06,-1.1e-05,8e-06,4.6e-05,-0.347175
0.156288,-0.053922,0.302346,0.031948,0.021054,-0.017962,-0.351742,1.060365,-1.976832,-0.550972,-0.159886,-0.042882,0.288453,-0.035608,0.044417,-0.028852,-0.156045,0.207842,0.437119,-0.812582,0.04681,0.020512,-0.024144,-0.025667,0.021316,-0.014648,-0.535185,0.146985,0.356736,-0.902305,0.076912,0.015282,-0.066491,0.016023,0.005346,-0.004392,0.03904,-0.121618,0.208291,-0.332152
0.156901,-0.051406,0.300224,9e-06,8e-05,0.000106,0.0,0.0,0.0,0.106319,-0.19669,-0.041811,0.305505,-0.011571,0.006215,0.052352,0.009569,-0.102989,-0.01985,0.471947,0.028401,0.021067,-0.015641,-0.005843,0.002895,0.025936,-0.044484,-0.05482,-0.040087,0.46803,0.077231,0.01655,-0.067557,6e-06,4.8e-05,6.4e-05,0.0,5e-06,-4e-06,-0.04868
0.156844,-0.051169,0.298741,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.085505,-0.20402,-0.039473,0.319669,0.011743,0.029246,-0.051042,-0.205114,0.371422,0.294675,-1.408922,0.024725,0.022222,-0.008527,0.005692,0.020218,-0.029618,-0.290188,0.475975,0.399202,-0.985093,0.077202,0.016668,-0.068298,-3e-06,0.0,7e-06,1.1e-05,-1.3e-05,-3e-06,-0.101259
0.154432,-0.050976,0.277622,-0.000707,0.005441,-0.016859,0.068671,-0.589995,0.09506,0.519894,-0.17849,-0.024275,0.298536,0.000121,0.034046,0.018907,-0.077929,0.013623,0.614235,-1.40558,0.037496,0.029824,-0.019114,4.9e-05,0.016954,0.00938,-0.051555,-0.00451,0.599264,-1.005994,0.075995,0.016757,-0.078861,-0.008423,0.003334,-0.00756,0.075012,-0.585388,-0.167273,0.519245
0.143818,-0.056156,0.296527,0.000495,0.003185,0.00446,0.000766,-0.013799,0.02529,0.522112,-0.173188,-0.011542,0.294685,-0.000922,0.007181,-0.012594,0.036463,-0.01155,0.017561,-1.405833,0.040147,0.036194,-0.021035,-3.8e-05,-0.002427,-0.002782,-0.002032,0.015806,-0.023973,-1.013506,0.070691,0.014186,-0.069389,0.000182,0.001216,0.001701,0.001781,-0.014449,0.024474,0.519898
0.147833,-0.049669,0.291729,0.016589,0.034345,-0.022981,0.063062,-0.162668,0.039507,-1.921859,-0.174375,-0.011467,0.29413,0.014784,0.001286,0.0001,-0.278464,-0.472736,-0.052534,-0.186605,0.039553,0.036239,-0.021313,0.007382,0.000628,7.4e-05,-0.291257,-0.464318,-0.046878,-0.700314,0.072696,0.017415,-0.071808,0.008332,0.017284,-0.01134,0.063872,-0.15086,0.03805,-1.037404
0.164795,-0.040174,0.297575,0.015104,0.005868,-0.015151,-4.63519,-0.630299,2.918918,-1.916985,-0.157551,-0.006342,0.25401,0.016359,0.019081,0.074358,-4.582644,-1.923126,-2.959911,-1.40715,0.04796,0.03879,-0.041405,0.015747,0.010372,0.037328,0.340074,-0.761262,-0.588064,-0.968437,0.081173,0.022168,-0.06887,-0.000186,-0.00223,-0.002855,-0.005804,-0.010093,-0.036834,-1.114804
0.163342,-0.026706,0.293519,-0.014835,0.005538,0.007029,-0.000267,-0.00068,-0.0052,-1.917046,-0.146971,-0.014862,0.282578,0.014724,0.006558,0.006208,0.032592,0.322254,0.721382,-1.404607,0.053256,0.034538,-0.027092,0.007351,0.003341,0.003174,-0.009879,0.333694,0.812583,-0.996034,0.080451,0.028899,-0.07091,-0.007422,0.002762,0.003512,-0.000253,-0.000677,-0.005221,-1.139951
0.160464,-0.029566,0.297044,0.000112,0.001144,0.001403,0.0,0.0,0.0,-1.917019,-0.150354,-0.010528,0.276882,-7.9e-05,0.001533,0.001967,-0.011912,0.098026,-0.138449,-1.405656,0.051564,0.036705,-0.02994,-3.9e-05,0.000788,0.001003,-0.012307,0.097687,-0.138291,-1.024283,0.079013,0.02747,-0.069146,5.2e-05,0.000567,0.000698,2e-06,1.1e-05,-1.1e-05,-1.143379
0.155483,-0.038177,0.295688,1.8e-05,0.000153,0.000197,0.0,0.0,0.0,-1.916965,-0.1348,-0.017775,0.29742,0.017189,-0.016107,0.021216,-0.070891,0.001739,-0.009201,0.345685,0.059335,0.03309,-0.019676,0.008533,-0.00759,0.01114,-0.068716,-0.013604,0.015188,0.283838,0.076522,0.023164,-0.069825,1e-05,9.4e-05,0.000119,-0.000122,1.1e-05,9.5e-05,-1.137338
0.156409,-0.040771,0.300027,0.0,0.0,0.0,0.0,0.0,0.0,-1.91643,-0.13721,-0.015341,0.304224,-0.018539,0.023501,-0.074315,-0.172434,0.680829,0.402513,-1.40732,0.058133,0.034307,-0.01626,-0.009206,0.011573,-0.037343,-0.133996,0.632401,0.3742,-0.966152,0.076985,0.021867,-0.067655,2e-06,-1e-06,-4e-06,-0.005131,0.099756,-0.172001,-1.114804
0.156497,-0.041211,0.299602,-0.000268,-0.002407,-0.003065,0.409313,-0.41077,0.591882,-1.916366,-0.136074,-0.018425,0.30406,0.001715,-0.012076,0.027726,-0.084324,-0.096925,0.02884,0.129878,0.058703,0.032764,-0.016366,0.000875,-0.006365,0.01349,-0.516178,-0.64071,0.456197,-0.027067,0.077029,0.021649,-0.067865,-0.000186,-0.001688,-0.002151,-0.000826,0.01453,-0.025034,-1.125091
0.156633,-0.041849,0.298667,-2.4e-05,-0.000216,-0.000278,0.0,0.0,0.0,-1.915717,-0.133123,-0.021282,0.309538,0.001188,-0.00927,0.01019,0.235118,-0.47093,-0.094674,0.171682,0.060179,0.031333,-0.013614,-0.007541,0.00035,0.001422,0.297866,-0.447625,-0.320889,0.042658,0.077097,0.021328,-0.068335,-1.2e-05,-0.000105,-0.000137,-6e-06,-4e-06,-2e-06,-1.113661
0.157173,-0.041871,0.298638,0.0,0.0,0.0,0.0,0.0,0.0,-1.916677,-0.134862,-0.020873,0.309241,-0.002692,0.019417,-0.039896,-0.195749,0.438076,0.292177,-1.408225,0.05931,0.031524,-0.013724,-0.001357,0.010061,-0.019553,-0.238242,0.43489,0.550771,-0.937902,0.077367,0.021317,-0.068349,0.0,0.0,-5e-06,-7e-06,-1.5e-05,0.0,-1.112844
0.168719,-0.03496,0.305976,0.095691,0.048824,0.056138,0.088862,0.85332,0.035468,-1.9168,-0.15556,-0.019563,0.277798,-0.031565,0.00787,-0.008443,-0.006944,0.029139,-0.062003,-1.408936,0.048972,0.032181,-0.029485,-0.008151,0.004552,-0.004372,-0.04615,-0.031365,-0.126101,-0.993258,0.083105,0.024749,-0.064707,0.040166,0.024551,0.028361,0.125231,1.062825,0.073885,-1.116273
0.225942,-0.029778,0.294138,0.046916,-0.003372,-0.009016,0.002107,-0.029085,0.06384,-1.91582,-0.172876,-0.027378,0.298309,-0.013964,0.004094,0.027853,0.170755,-0.354678,-0.229985,-1.407845,0.040314,0.02828,-0.019251,-0.006999,0.002259,0.014187,0.216635,-0.462387,-0.278455,-0.995707,0.111723,0.027357,-0.070604,0.023911,-0.007044,-0.000205,-0.031289,-0.022368,0.041936,-1.145992
0.228597,-0.02997,0.29523,-7.5e-05,0.000659,0.000828,0.0,0.0,0.0,-1.915967,-0.187719,-0.026854,0.314998,8e-05,0.001229,0.001334,0.0,-0.0,-0.0,-1.407883,0.032881,0.028545,-0.010879,0.000369,-0.004754,0.004992,-0.036243,0.011515,-0.017463,-1.018078,0.113079,0.027267,-0.070055,-4.9e-05,0.000423,0.00053,-3e-06,-1e-06,-1e-06,-1.14191
0.186176,-0.031439,0.295187,-0.031298,0.005205,-0.014182,-0.043236,-0.307651,-0.271093,0.297501,-0.180615,-0.025895,0.308982,-0.002197,0.00587,-0.034698,-0.462604,0.748823,0.701029,0.164688,0.036433,0.029033,-0.013862,-0.008949,0.007907,-0.021474,-0.185774,0.381692,0.451905,-0.133206,0.091868,0.02654,-0.070067,-0.015644,0.002414,-0.007288,-0.040908,-0.299427,-0.266379,0.15821
0.185783,-0.005281,0.258226,-0.135392,0.026366,0.067648,0.1957,-0.376557,0.811919,0.270413,-0.200306,0.000818,0.304934,0.006558,0.019448,0.078427,-1.909386,-3.164562,-4.189664,0.417143,0.026587,0.042379,-0.015935,-0.004147,0.015202,0.035589,-0.085963,0.032695,-0.1144,0.37626,0.091724,0.039604,-0.088583,-0.075155,0.00699,0.037468,0.561152,-1.430407,2.310277,0.158536
0.158731,-0.006549,0.276224,0.0,0.0,0.0,0.0,0.0,0.0,0.149262,-0.210598,0.015054,0.330917,-0.011665,0.015139,0.013338,-0.000492,-0.000454,-0.005104,0.390065,0.021442,0.049502,-0.002917,-0.005846,0.007545,0.006652,-0.000538,-0.00049,-0.005152,0.355359,0.078146,0.038978,-0.079556,0.0,-5e-06,-1e-05,5.7e-05,-3.3e-05,-6.1e-05,-0.011939
