MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.144016,-0.07434,0.291745,-9e-06,-5.3e-05,-8.3e-05,0.0,0.0,0.0,-0.664443,-0.163943,-0.070098,0.282056,3e-06,0.000175,0.000281,0.0,-0.0,-0.0,-0.695241,0.045242,0.019609,-0.014232,-0.0,6.5e-05,0.000107,9.9e-05,0.000142,0.00011,-0.888262,0.075431,0.012577,-0.057868,-2e-06,-1.5e-05,-2.4e-05,-4.4e-05,-8e-06,6.5e-05,-0.747073
0.144339,-0.074104,0.290824,-2.5e-05,0.010052,-0.009703,0.035617,-0.012628,0.018532,-0.802439,-0.164161,-0.070492,0.282348,-0.0,-5e-06,-8e-06,-0.009447,0.018207,0.010302,-0.675707,0.045133,0.019411,-0.014087,-1e-06,2e-06,2e-06,0.012608,-0.003416,0.00034,-0.880751,0.075592,0.012691,-0.058324,-4e-05,-0.000266,-0.00042,0.001407,-0.001153,0.000962,-0.840639
0.143094,-0.062085,0.2705,-0.016538,0.001802,0.002395,-0.000984,0.014715,-0.029553,0.510342,-0.173113,-0.062265,0.255169,-0.000571,-0.010627,-0.019597,0.466698,0.019825,0.260269,0.37525,0.040664,0.023528,-0.02767,-0.008134,-0.011131,-0.004968,3.771355,3.711246,0.987713,0.318619,0.074975,0.0187,-0.068498,0.000107,0.000607,0.001031,-0.001301,0.000513,0.001263,0.502916
0.13759,-0.060368,0.270692,-0.000361,-0.001915,-0.003228,-0.000684,0.014469,-0.024915,0.508248,-0.200949,-0.067129,0.276649,0.000611,0.004408,0.007264,0.001749,-0.013939,0.02516,0.513036,0.02674,0.021096,-0.016931,0.000284,0.00209,0.003448,0.001954,-0.012979,0.025044,0.508036,0.072218,0.019566,-0.068389,0.008171,-0.00133,-0.001818,0.000997,-0.01471,0.029552,0.50112
0.13735,-0.061156,0.269655,5e-06,2.5e-05,4.2e-05,0.0,0.0,0.0,0.503747,-0.198678,-0.062598,0.283342,-0.001254,0.020543,-0.018873,0.159948,-0.144179,-0.037934,-0.299287,0.027875,0.023351,-0.013582,0.007848,0.00465,-0.00595,0.143381,-0.172198,-0.043325,-0.399533,0.072097,0.019169,-0.068912,2e-06,1.2e-05,2.5e-05,2.1e-05,2e-06,5e-06,0.494262
0.137628,-0.056448,0.259092,0.000282,0.001459,0.002605,0.0,-0.0,-0.0,0.522126,-0.161755,-0.046495,0.276212,1e-06,0.001296,0.001934,-0.349448,-0.911925,0.092606,-0.96862,0.046337,0.031409,-0.017157,0.000465,-0.00472,0.005292,-1.358839,-2.921055,0.338061,-0.948189,0.072235,0.021518,-0.074203,0.0002,0.001034,0.001847,0.003421,-0.103252,0.170211,0.522348
0.143498,-0.047401,0.255169,0.000282,0.011998,-0.006775,0.119451,0.129338,0.108524,0.482171,-0.168937,-0.051547,0.27981,0.00076,-0.016536,7.9e-05,-0.038273,0.024742,-0.043183,-0.778671,0.042745,0.028892,-0.015353,-6.5e-05,-0.002715,-0.004043,2.7e-05,0.018768,-0.028631,-0.970397,0.075172,0.026044,-0.076149,5.4e-05,0.000311,0.000541,0.120696,0.305399,-0.042097,0.464543
0.143718,-0.044201,0.259721,0.000188,0.001117,0.001864,0.004611,-0.124012,0.190928,-0.982625,-0.167343,-0.054172,0.278854,-9.1e-05,-0.004256,-0.006466,0.497108,2.431592,-1.411638,-0.086699,0.043542,0.027574,-0.015829,-3.7e-05,-0.002003,-0.00303,-0.588102,0.39653,0.467537,-0.398717,0.075281,0.027645,-0.073883,0.008173,-0.000368,-0.000318,0.001356,-0.014921,0.0293,-0.905139
0.151014,-0.041444,0.264038,0.0,0.0,0.0,-0.0,0.0,0.0,-1.159088,-0.17652,-0.064946,0.265358,0.0165,-0.003794,-0.008458,-0.258974,0.4486,-0.177746,0.501895,0.038947,0.022183,-0.022583,-0.000517,0.003491,-0.007672,-0.328708,0.62162,-0.285367,0.47848,0.07893,0.029026,-0.071719,-5e-06,-3.2e-05,-5.3e-05,0.000546,-0.000458,-0.000246,-1.056672
0.152439,-0.044381,0.267502,0.002185,0.027029,0.016825,0.03294,0.046176,-0.077217,-1.456425,-0.166003,-0.0379,0.28051,0.003092,-0.004403,0.064964,0.164308,-0.4847,-1.167395,-1.017013,0.044213,0.035722,-0.015011,0.001023,0.002544,0.02725,0.023977,0.057463,-1.05259,-1.031631,0.079642,0.02755,-0.07,0.001104,0.01369,0.008689,0.031091,0.048988,-0.079636,-1.071368
