MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.145315,0.03718,0.381817,-0.000584,-0.00452,-0.002424,-0.000756,0.013648,-0.025372,0.049604,-0.195072,0.047208,0.390581,-0.001372,0.015024,-0.020581,0.058763,0.082549,-0.165756,-0.580053,-0.00781,0.039653,0.011743,-0.000912,0.013035,-0.014616,0.106558,-0.032788,0.053641,-0.638101,0.11044,0.039808,-0.050943,0.005932,0.002923,-0.005869,0.036438,-0.028792,0.047361,-0.109587
0.084699,0.026845,0.320387,-0.0565,0.001495,-0.001578,0.000901,0.090851,-0.131033,0.465952,-0.132779,0.054568,0.314437,0.053306,-0.01634,0.014162,-0.056677,0.104423,-0.318403,-1.403757,0.023316,0.043346,-0.026338,0.020393,-0.009157,0.006929,-0.135788,0.307941,-0.45896,-0.766447,0.080146,0.034614,-0.08168,-0.034759,0.002569,0.000556,-0.006109,0.081034,-0.178321,0.43809
0.054254,0.024522,0.335125,0.000762,-0.005469,0.013171,-0.033331,0.006389,0.010451,0.439472,-0.111643,0.053033,0.301841,0.002717,-0.015147,0.003733,-0.03944,0.026187,-0.041249,-1.402846,0.033903,0.042574,-0.032636,0.000277,-0.00133,-0.001193,0.000122,3e-05,0.000105,-0.770366,0.064913,0.03347,-0.074301,0.000162,-0.00322,0.006146,-0.03178,0.129322,-0.181372,0.409187
0.063218,0.028713,0.339839,0.00382,0.016559,-0.003441,-0.013763,0.196041,-0.52181,-1.906971,-0.122595,0.05483,0.290192,-0.026006,0.00358,-0.08228,-0.164728,0.363119,0.988935,0.265113,0.028434,0.043476,-0.03842,-0.020234,0.006236,-0.044878,0.084958,0.606264,1.180467,0.179822,0.069392,0.035567,-0.071929,0.008213,0.006112,-0.003182,0.028662,0.126095,-0.322117,-0.775486
0.059556,0.021349,0.322295,-0.001721,-0.004049,-0.003976,-0.001933,-0.110606,0.165299,-1.633659,-0.102245,0.044374,0.295416,0.011894,0.002535,0.037005,-0.06218,-0.054654,0.057174,0.359625,0.038604,0.038238,-0.035847,0.005942,0.00119,0.01842,-0.069228,-0.045459,0.065477,0.308331,0.067559,0.031884,-0.080709,0.005747,-0.004062,-0.003357,0.001183,0.001376,0.005757,-0.812716
0.070822,0.024755,0.316942,0.01969,0.012985,0.013765,-0.044369,-0.238812,0.177963,0.508465,-0.109993,0.052329,0.304641,-0.015475,0.010398,0.010989,-5.247442,-1.632011,-0.524921,-1.400778,0.034734,0.042217,-0.031236,-0.000379,0.000597,0.009169,-0.08985,0.257958,-0.321799,-0.770529,0.073186,0.033583,-0.083389,0.016559,0.004903,0.005855,-0.00352,-0.235338,0.203904,0.473524
0.062206,0.027493,0.33202,-0.026743,0.005709,0.00323,0.188096,0.629008,0.846217,0.463523,-0.111635,0.048624,0.308018,0.015186,-0.011302,0.005572,-0.057689,-0.362849,-0.262432,-1.378139,0.033903,0.040366,-0.02955,0.007611,-0.005759,0.002678,-0.085572,-0.465341,-0.39325,-0.771673,0.068887,0.034961,-0.075841,-0.013432,0.00272,0.001491,0.20651,0.737102,0.928702,0.443968
0.052537,0.019896,0.343055,-0.00149,-0.003375,-0.002988,0.001226,0.020232,-0.021423,0.394734,-0.104993,0.044044,0.310071,0.00085,-0.006198,0.011907,-0.033893,-0.010521,0.002978,-1.346859,0.03723,0.038069,-0.028531,0.005844,0.003952,0.002582,0.002298,-0.010192,0.036637,-0.775102,0.064052,0.031162,-0.070324,-0.000563,-0.001278,-0.001133,-0.001568,-0.01401,-0.01164,0.360527
0.05992,0.018126,0.343544,-0.011428,0.007885,0.005997,-0.195102,0.123014,-0.145258,-1.88416,-0.112103,0.048042,0.299969,-0.005867,-0.036991,-0.032385,0.509477,-0.297627,0.698057,0.524193,0.033675,0.040089,-0.033557,0.0036,-0.017538,-0.016222,1.617905,-0.24621,1.280915,0.523222,0.06774,0.030269,-0.070087,-0.005629,0.004154,0.003183,-0.201093,0.12487,-0.146877,-0.798836
0.057165,0.016832,0.342199,-7e-06,-1.6e-05,-1.4e-05,-0.000148,8.8e-05,-5.8e-05,-1.48408,-0.103857,0.044304,0.30471,0.001955,-0.01103,0.00758,-0.024457,-0.011129,-0.035191,0.166502,0.037797,0.038206,-0.031205,0.007444,-0.004138,0.004076,-0.023514,-0.130581,0.172902,0.062252,0.066364,0.029625,-0.070757,1.8e-05,4.1e-05,3.9e-05,0.005106,-0.002748,0.001334,-0.79851
0.062699,0.053394,0.335689,-0.070088,0.008922,0.053088,0.100472,0.418004,0.043614,0.200164,-0.146008,0.072479,0.3105,-0.041149,0.04276,0.020455,0.333288,-0.49012,0.126975,-1.403002,0.016738,0.052263,-0.028325,-0.014564,0.022179,0.010285,0.461381,-0.678269,0.23352,-0.808903,0.069133,0.04791,-0.074011,-0.035067,0.004468,0.026586,0.151072,0.482932,0.086734,0.13045
0.02318,0.043357,0.394473,0.0081,-0.011335,-0.00692,0.005007,-0.092524,0.180731,-0.016171,-0.139396,0.075924,0.32368,-0.001124,0.008946,0.00612,0.002413,-0.018031,0.022348,-1.404323,0.020029,0.054,-0.021725,-0.000562,0.004455,0.003048,0.000115,-0.016448,0.023071,-0.81968,0.049371,0.042898,-0.044613,-0.001614,-0.002959,-0.001865,7.3e-05,-1e-05,-5.3e-05,-0.219155
0.019294,0.040107,0.392218,-0.002938,-0.005252,-0.003468,0.003993,-0.077841,0.151162,0.025212,-0.136595,0.078512,0.329829,0.011146,0.004868,0.002139,0.002045,-0.015205,0.029245,-1.402889,0.021429,0.055304,-0.018645,0.005561,0.002533,0.00113,0.002751,-0.015659,0.029033,-0.837642,0.04743,0.041267,-0.045744,-0.001299,-0.002327,-0.001534,2.9e-05,1.5e-05,7e-06,-0.167882
0.032051,0.046236,0.386983,0.005844,0.018022,-0.004121,-0.245597,-0.557508,-0.035356,0.316382,-0.136516,0.079815,0.335987,0.000385,-0.002816,0.012445,-0.034291,-0.008101,0.004357,-1.402245,0.021468,0.055958,-0.015569,0.005932,-0.000729,0.00616,-0.033168,-0.029002,0.034842,-0.858217,0.053804,0.044321,-0.048363,0.001915,0.003716,0.002348,-0.37869,-0.53728,-0.321935,0.217974
0.024723,0.046298,0.385469,-0.029884,-0.0024,-0.002247,-0.002341,0.043217,-0.084412,0.144585,-0.137606,0.07729,0.336546,0.000328,-0.002479,-0.001529,0.038417,-0.027605,-0.024875,-1.401511,0.020923,0.054692,-0.015286,0.00019,-0.001425,-0.000879,0.005768,-0.017965,-0.025446,-0.849072,0.050156,0.044363,-0.049119,-0.01509,-0.001479,-0.001288,-0.004065,0.055021,-0.111569,-0.004101
0.026307,0.049402,0.383266,-0.01137,0.005222,0.003089,-0.00063,0.0153,-0.029233,0.410573,-0.136792,0.075951,0.337904,2e-06,-1.6e-05,-1e-05,0.0,0.0,0.0,-1.400743,0.02133,0.054023,-0.014606,0.005769,0.000814,2.2e-05,0.002038,-0.015209,0.029241,-0.850378,0.050935,0.045911,-0.050223,-0.005663,0.002656,0.001577,-0.006443,0.007767,-0.033322,0.36069
0.02058,0.04936,0.387265,0.000964,0.001719,0.001113,0.000377,-0.013755,0.025323,0.373269,-0.135956,0.075705,0.338276,0.0,-1e-06,-0.0,0.000145,-0.00011,-9.7e-05,-1.400213,0.021748,0.053902,-0.01442,0.000807,-0.005894,0.003517,-0.04157,0.011148,-0.017529,-0.849072,0.04807,0.045888,-0.048225,-0.005709,0.002595,0.001521,-0.001,0.014714,-0.029573,0.3215
0.017604,0.047614,0.386612,0.01257,-0.003352,-0.001813,0.001371,-0.028439,0.054892,0.101198,-0.135943,0.075544,0.338434,0.000119,-0.00087,-0.000533,0.0,0.0,0.0,-1.399732,0.021754,0.053822,-0.01434,7.6e-05,-0.000556,-0.000341,-2e-06,-4e-06,-0.0,-0.847439,0.046582,0.045016,-0.04855,0.006277,-0.001691,-0.000922,0.001404,-0.028453,0.054872,-0.026962
0.023957,0.0548,0.386294,-0.002595,-0.00471,-0.00295,0.226238,0.407949,0.190908,-1.521354,-0.134377,0.066803,0.329398,0.011048,0.008059,0.019451,-1.481889,-2.375839,-4.680304,0.231677,0.022526,0.04943,-0.018883,0.01067,0.010996,0.006402,-0.112099,-0.389454,-0.171653,0.129365,0.049767,0.048614,-0.048706,-0.001278,-0.002323,-0.001449,-0.000184,0.013995,-0.025215,-0.703312
0.032394,0.074425,0.374988,0.030886,0.026708,-0.02817,0.095502,-0.01176,-0.04684,-1.057447,-0.132416,0.065487,0.333361,0.002168,-0.015035,-0.010061,0.330402,0.834244,1.486703,0.319224,0.023488,0.048714,-0.017028,0.000441,-0.002832,-0.009384,-0.039571,1.275483,0.220544,0.247424,0.053965,0.05841,-0.054352,0.015202,0.012859,-0.014393,0.098719,0.103442,-0.232035,-0.771077
0.059466,0.052536,0.371388,-0.014584,0.003675,-0.012958,0.03024,-0.098157,0.128852,-1.224343,-0.104788,0.069899,0.32,0.013086,-0.007038,0.02459,0.08989,-0.151929,-0.075308,0.421277,0.037328,0.051001,-0.023567,0.005488,0.002074,0.008667,0.147658,-0.163809,-0.093189,0.393732,0.06752,0.047479,-0.056155,-0.001464,-0.000148,-0.00768,0.045869,0.009729,-0.00699,-0.802592
0.056843,0.050086,0.365646,0.00757,-0.013873,-0.008992,-0.000652,-0.002117,0.00348,-1.114788,-0.107205,0.074418,0.326388,-0.015005,0.013777,-0.004167,0.095575,-0.054142,-0.028881,-0.603467,0.03613,0.053248,-0.020366,-0.007432,0.006591,-0.002286,0.084007,-0.032966,-0.048322,-0.610178,0.066206,0.046259,-0.059029,0.003718,-0.0071,-0.004603,0.010662,0.011067,0.011367,-0.789855
0.055393,0.060275,0.360267,-0.002429,-0.018829,0.018274,1.149191,0.137731,-1.127107,0.404043,-0.109517,0.082581,0.329054,0.012247,-0.000919,-0.001755,-0.001042,0.002808,0.006961,-1.230601,0.034963,0.05734,-0.01903,0.005982,0.000157,-0.000477,0.007716,-0.020449,0.025037,-0.774448,0.065477,0.051349,-0.061732,-0.001432,-0.009893,0.008858,3.986277,0.296494,-3.604105,0.381264
0.052116,0.054918,0.371517,0.01106,-0.005294,-0.003225,3.81575,0.374301,-3.955132,-1.578027,-0.104592,0.080895,0.327107,0.00061,-0.002471,-0.00169,-0.042622,-0.191275,0.153165,0.153451,0.037438,0.056463,-0.020016,0.000326,-0.001311,-0.000897,-0.000416,0.000711,-0.002505,0.019307,0.063833,0.048677,-0.056092,-0.000526,-0.001182,-0.000748,-0.001632,-8e-05,0.001514,-0.716538
0.049509,0.049604,0.369597,0.011681,-0.004387,-0.002664,0.000984,-0.014714,0.029553,-1.507136,-0.101919,0.081562,0.327561,0.002485,-0.012329,0.006394,0.256331,-0.250416,-0.26014,-0.08688,0.038766,0.056835,-0.019779,7.3e-05,-0.0003,-0.000207,0.485849,-0.400857,-0.361939,-0.203258,0.062532,0.046015,-0.057055,-0.000144,-0.000319,-0.000212,-6.2e-05,-9.5e-05,-4.9e-05,-0.711803
0.051503,0.056495,0.402824,-0.016562,-0.012005,0.066129,-0.153377,0.08539,-0.039528,-0.050137,-0.118076,0.098409,0.340838,-0.010975,0.000394,-0.012297,0.031847,0.025246,-0.032554,-1.230708,0.030687,0.065258,-0.013137,-0.00546,8.5e-05,-0.006205,0.03208,0.025561,-0.032008,-0.758936,0.063552,0.049489,-0.040455,-0.008567,-0.006551,0.032802,-0.130587,0.060243,-0.01582,-0.226666
0.039711,0.052111,0.423595,0.000141,0.000291,0.000133,-0.017524,-0.043527,-0.018016,-0.19726,-0.116647,0.097263,0.344626,0.001599,-0.009405,0.008197,0.308705,-0.278647,-0.278267,-1.203232,0.031402,0.064683,-0.011249,-0.000329,0.001526,0.000822,0.379166,-0.323118,-0.296868,-0.791267,0.05764,0.04727,-0.030056,2.3e-05,5.7e-05,2.9e-05,-0.0031,0.005757,-0.001088,-0.346522
