MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.039996,0.003229,0.350388,-0.031842,0.01632,0.048678,0.014663,0.862009,0.184812,0.250092,-0.13741,0.036813,0.329465,-0.012942,-0.000487,0.000913,0.012702,-0.097097,0.13422,0.326478,0.022158,0.036864,-0.019758,-0.012896,-0.000871,0.000635,-0.003888,0.030528,-0.058492,0.26114,0.058001,0.026465,-0.068684,-0.023392,0.005235,0.030289,0.009337,1.0356,0.447675,0.11902
0.029701,-0.003655,0.385296,0.006742,0.013358,0.011017,-0.00726,0.070676,-0.154519,0.12062,-0.138592,0.037691,0.330102,8.7e-05,-0.000774,-0.000593,0.0,0.0,0.0,0.268265,0.021561,0.037305,-0.019437,-0.006333,-0.001264,-0.000333,-0.002044,0.015208,-0.029248,0.18668,0.052842,0.023031,-0.051209,-0.002364,0.014263,0.002385,0.027515,0.052614,-0.143327,0.008309
0.059953,0.013865,0.379448,0.035168,0.016438,0.012537,4.893446,0.377736,-2.895682,-0.254728,-0.141123,0.033447,0.328028,0.015621,-0.022701,-0.002591,-0.070293,0.091786,0.417753,0.32287,0.02029,0.035191,-0.020473,0.007746,-0.010843,-0.000891,-0.059779,0.330752,0.43082,0.242689,0.067959,0.031793,-0.054131,0.017752,0.008621,0.006534,0.028777,-1.143993,-0.927068,-0.395835
0.069947,0.015482,0.380894,-0.0,-0.0,-0.0,-0.000116,-0.001788,-0.0009,-0.102387,-0.104794,0.047157,0.335628,-0.002293,0.010146,0.007496,0.102562,-0.273372,0.0801,0.402407,0.038462,0.042031,-0.016685,-0.006385,-0.001709,0.007443,0.081801,-0.305281,0.026613,0.359605,0.072967,0.032604,-0.053406,1e-06,1e-06,-3e-06,0.000868,0.013563,0.006827,-0.282512
0.070247,0.015099,0.380246,-0.000493,-0.001338,-0.000928,0.0,0.0,0.0,-0.086672,-0.100539,0.048493,0.344112,0.000594,-0.00247,-0.001725,-0.002361,0.015699,-0.024049,0.109272,0.040587,0.042708,-0.012431,0.000303,-0.001261,-0.000878,-0.002465,0.014937,-0.023806,0.04772,0.073117,0.032413,-0.05373,0.006088,-0.002457,-0.001597,0.000989,-0.014703,0.029567,-0.274184
0.087435,0.031685,0.348733,0.036183,0.000944,-0.130015,-5.724004,0.989571,0.744056,0.444023,-0.093663,0.056313,0.333988,0.051626,0.003396,-0.019118,-3.551228,-2.227662,-4.064604,-0.918235,0.044006,0.046615,-0.017485,0.027015,-0.004188,-0.00601,-0.278744,-1.567959,0.167465,-0.874056,0.081705,0.040737,-0.069414,0.01163,0.001254,-0.064511,-1.400345,1.055766,0.725305,0.401513
0.086934,0.02626,0.325632,-0.013069,-0.011649,0.02471,0.08378,0.737035,0.066988,0.461877,-0.078038,0.054591,0.325038,0.001451,-0.004507,-0.003647,1.3e-05,-1.3e-05,-1.1e-05,-0.545809,0.051838,0.045755,-0.021969,0.000855,-0.002649,-0.002143,-0.0041,0.018168,-0.021552,-0.726931,0.081467,0.038002,-0.081042,-0.005944,-0.000261,0.008378,-9.7e-05,0.802059,0.611769,0.455888
0.077491,0.02736,0.347017,0.003555,0.002808,0.019137,0.170769,0.328673,0.243347,0.203458,-0.076725,0.051983,0.32282,-0.011429,-0.006566,-0.003545,-0.002045,0.015205,-0.029245,-0.544067,0.052499,0.044453,-0.023077,0.000618,-0.001901,-0.00158,-0.002866,0.016678,-0.023308,-0.724971,0.076736,0.038539,-0.070354,0.002366,0.006699,0.005287,0.349604,0.543019,0.335149,0.083096
0.080987,0.024422,0.350644,0.013331,-0.00177,-0.00099,-0.018574,-0.04861,0.009259,-1.907678,-0.079246,0.050537,0.322716,-0.012991,-0.001778,0.000418,0.109322,0.237224,0.507491,0.507876,0.05124,0.043727,-0.023133,-0.012821,-0.002328,-2.3e-05,0.75671,0.310215,1.62564,0.474398,0.078481,0.037073,-0.068531,0.006689,-0.000819,-0.000454,-0.002832,-0.039523,0.043166,-0.82431
0.082,0.034538,0.361601,0.009593,0.014246,0.04166,-0.066956,-0.019328,0.069198,-1.190864,-0.082203,0.048248,0.365683,0.015363,-0.00835,-0.00637,-0.216348,1.277228,0.238441,-0.273368,0.04975,0.042586,-0.001645,0.001778,-0.005935,-0.003705,-0.011409,0.950534,-0.181678,-0.451296,0.078993,0.042134,-0.063063,-0.00155,0.008327,0.02159,-0.069201,0.009914,0.015342,-0.87297
0.0803,0.021007,0.388644,-0.001893,-0.005654,-0.003524,-0.000881,0.012768,-0.025822,-0.908849,-0.07655,0.0473,0.360767,-0.000259,0.000813,0.000534,-0.038271,0.274609,0.39938,-0.270874,0.052584,0.042103,-0.004109,-0.000207,0.000644,0.000427,-0.062723,0.490583,0.29467,-0.451296,0.078147,0.035379,-0.049523,-0.001459,-0.007931,0.002868,-0.034885,0.018641,-0.015739,-0.87444
0.074665,0.001343,0.379174,-0.002576,-0.014675,0.005984,-0.027975,-0.068471,0.163091,-0.558149,-0.071452,0.046549,0.358892,-0.00012,0.000357,0.000241,0.098479,-0.891373,-0.334286,0.180186,0.055131,0.041735,-0.005041,0.005982,0.001875,0.000573,0.053251,-1.173428,-0.292346,0.045434,0.075325,0.025533,-0.054267,-0.001296,-0.007351,0.002986,-0.032238,-0.066712,0.161657,-0.629994
0.074398,-0.000258,0.380415,0.000154,0.000439,0.000326,0.0,0.0,0.0,-0.534048,-0.069154,0.040118,0.372699,-0.013327,0.003852,-0.011703,0.03311,0.013813,-0.006155,-0.191917,0.056285,0.038517,0.001866,-0.005289,-0.003932,-0.001879,-0.003784,0.02881,-0.054305,-0.327359,0.075192,0.024733,-0.053646,9.8e-05,0.00028,0.000207,-1e-06,-9e-06,7e-06,-0.608276
0.091696,0.004881,0.390686,0.002808,0.009529,0.006253,-1.705639,1.411305,-1.940855,-0.756445,-0.08796,0.038576,0.354271,-0.04148,0.006801,0.008918,-0.002177,0.015851,-0.038059,-1.009022,0.046894,0.03774,-0.00736,-0.026907,0.001786,0.004061,-0.003043,0.048849,-0.095411,-0.855767,0.083841,0.027302,-0.048511,0.007834,0.003361,0.002189,1.119992,0.444255,-1.10233,-0.769771
0.101853,0.007357,0.394409,1.8e-05,6.9e-05,4.3e-05,0.0,0.0,0.0,-0.73933,-0.104487,0.037016,0.356579,-0.010937,-0.011377,0.0092,1.224601,-0.467729,0.905139,-0.87786,0.038623,0.03697,-0.006204,-0.005581,-0.005222,0.004927,-0.039158,0.020493,-0.051341,-0.873076,0.088915,0.028542,-0.046648,1.7e-05,6e-05,3.1e-05,-6.2e-05,-4.2e-05,9.4e-05,-0.760626
0.106,0.008151,0.394802,0.001769,0.007099,0.00435,-0.015509,-0.002872,0.014229,-0.704585,-0.115929,0.035745,0.361167,0.009427,0.018175,0.01058,-0.002864,-0.080719,0.519329,-0.8395,0.032891,0.036316,-0.003914,-0.001445,0.007882,0.005082,-0.030427,0.091973,0.346227,-0.913899,0.090992,0.028933,-0.046456,0.000831,0.003341,0.002048,-0.053102,0.017679,-0.013079,-0.736623
0.119641,0.011147,0.395193,-0.000264,-0.001276,-0.00075,0.0,-0.0,0.0,-0.772652,-0.106506,0.0399,0.36184,0.013442,-0.003207,-0.00318,-0.43452,-0.070386,-0.226834,-0.9666,0.037594,0.038411,-0.00356,0.012989,-0.000578,-0.001653,-4.826788,-0.781981,-2.536797,-0.904101,0.097809,0.030442,-0.046259,-0.000194,-0.000936,-0.000556,-0.003491,0.001402,-0.001661,-0.781364
0.113763,0.007442,0.395759,-0.054266,-0.006075,-0.00282,-0.005002,0.070711,-0.14446,0.273073,-0.106026,0.040907,0.359747,0.000541,-0.002489,-0.001602,0.00031,0.018622,-0.029584,-1.403894,0.037844,0.038914,-0.004614,0.000128,-0.00058,-0.000377,0.005966,0.009971,-0.01186,-0.923043,0.094894,0.028583,-0.045975,-0.027219,-0.003436,-0.001622,-0.004481,0.071203,-0.144763,0.085219
0.080661,0.017221,0.356188,-0.050701,0.016406,0.011197,0.018942,0.402461,0.322224,0.371929,-0.103824,0.04046,0.358688,0.000152,-0.000678,-0.000443,0.0,0.0,0.0,-1.386073,0.038945,0.038687,-0.005145,7.2e-05,-0.000319,-0.000208,8e-06,5e-06,1.3e-05,-0.917164,0.078338,0.033452,-0.065777,-0.025923,0.00288,0.009972,-0.032681,0.478488,0.494533,0.332931
0.070209,0.011124,0.387517,-0.000512,-0.001398,-0.000947,0.019096,0.103934,0.049208,-0.093228,-0.10377,0.040366,0.358232,0.000429,-0.001909,-0.00125,-0.002096,0.014673,-0.024712,-1.382689,0.038972,0.038644,-0.005371,7e-05,-0.00031,-0.000203,-1.7e-05,1e-06,-3e-05,-0.915205,0.073099,0.030428,-0.050093,0.006053,-0.002573,-0.001662,0.023825,0.108869,0.08779,-0.242506
0.084731,0.010514,0.392589,0.000899,-0.004478,0.013016,-0.033179,0.008749,0.011546,-1.91246,-0.112415,0.04104,0.358147,0.000288,-0.001459,-0.000939,-0.002075,0.014752,-0.024667,-1.406074,0.034649,0.038982,-0.005413,0.000145,-0.00074,-0.00048,-0.002039,0.014751,-0.024646,-0.909163,0.080359,0.030122,-0.047563,0.006694,-0.004026,0.005352,-0.035601,-0.013758,0.004166,-0.819738
0.084063,0.008271,0.381338,0.02595,0.031127,-0.059877,0.186952,-1.477187,-0.127074,0.483994,-0.104985,0.04105,0.356949,-0.012285,-0.000141,-0.014307,0.031922,0.024892,-0.032838,0.358585,0.038364,0.038986,-0.006012,-0.006116,-0.000151,-0.007194,0.031917,0.024806,-0.032458,0.286614,0.080014,0.028989,-0.05316,0.019322,0.013599,-0.031254,0.216056,-1.058731,0.067878,0.456052
0.075004,0.051728,0.383265,-0.008092,-0.008764,-0.034014,-0.168677,-0.661848,-0.22455,0.273027,-0.112708,0.0709,0.353141,-0.023357,-0.066706,0.020979,3.862249,0.607232,4.100918,0.331205,0.034499,0.053934,-0.007904,-0.011513,-0.034102,0.010055,3.845029,0.632271,4.117013,0.301637,0.075509,0.050761,-0.052191,-0.005106,-0.010731,-0.013217,-0.248997,-0.749458,-0.61324,0.172579
0.016509,0.038379,0.397073,-0.01625,0.002734,0.048731,-0.096931,0.060675,-0.020555,0.353945,-0.143263,0.055924,0.35249,-0.000664,0.004563,-0.011839,0.034454,0.006935,-0.005038,0.14031,0.019226,0.046424,-0.008235,0.00034,-0.003228,-0.001939,-0.002053,0.015778,-0.024052,0.00902,0.046248,0.044039,-0.045343,-0.008172,0.001327,0.024354,-0.096716,0.059069,-0.018059,0.302722
0.017788,0.040467,0.405591,-0.00046,-0.014143,0.022437,-0.007459,0.240076,0.096162,0.372781,-0.142801,0.054427,0.351968,1.9e-05,-0.000181,-0.00011,0.0,0.0,0.0,0.117411,0.019457,0.045672,-0.008504,1.6e-05,-0.000149,-9e-05,-6e-06,9e-06,1e-06,-0.020209,0.046886,0.045093,-0.04106,-0.000206,-0.006997,0.011271,-0.028877,0.151386,0.044949,0.268267
0.031672,0.049506,0.401748,0.053757,0.017557,-0.035377,0.067975,-1.517781,0.073229,-0.534057,-0.140956,0.053703,0.351516,0.012231,-0.000758,-0.001434,0.002045,-0.015205,0.029245,0.111455,0.020375,0.045311,-0.008729,0.000154,-0.001376,-0.000849,-1.4e-05,-2e-06,-8e-06,-0.04209,0.053806,0.049606,-0.042967,0.028124,0.014398,-0.022054,0.140681,-1.896351,0.049671,-0.642731
0.081489,0.044713,0.393913,-0.022151,0.002723,0.016544,0.345542,-0.286559,-0.366911,-0.27438,-0.105767,0.065203,0.354168,0.089326,0.034869,0.012798,-0.014796,0.062805,-0.051369,0.309367,0.037939,0.05105,-0.007405,0.050593,0.018147,0.006255,-0.023319,0.059436,-0.050184,0.222604,0.078746,0.047216,-0.046905,-0.011764,-0.004072,0.012669,1.384347,-0.862413,-0.284389,-0.424411
0.074671,0.046119,0.39513,0.000279,0.000775,0.000406,-0.0,-0.0,-0.0,-0.234009,-0.080619,0.073202,0.36254,-0.002364,0.007334,0.004151,-0.300067,-0.225364,-0.179477,0.098924,0.050548,0.055061,-0.003218,-0.001158,0.00358,0.002024,-0.318328,-0.196623,-0.17319,-0.014821,0.075328,0.04792,-0.046289,0.006017,-0.001038,-0.0007,0.000946,-0.01469,0.029569,-0.382282
0.095331,0.049667,0.35632,-0.033313,-0.033637,-0.097953,-3.901457,1.786345,3.549371,0.519631,-0.081374,0.07026,0.363729,-0.000355,0.001118,0.000635,0.290668,-0.419378,-0.050646,-1.02916,0.050171,0.053588,-0.002625,0.005436,0.002259,0.000813,0.452286,-0.606368,-0.116059,-0.8703,0.085659,0.049702,-0.06569,-0.016589,-0.016919,-0.049014,-3.926701,1.730286,3.513737,0.519408
0.073978,0.059189,0.374386,-0.016443,0.017656,0.024908,0.039984,0.097384,0.021535,0.388757,-0.081731,0.068623,0.362561,0.002445,-0.007758,-0.00448,-0.002405,0.015224,-0.024348,-0.913678,0.049989,0.052778,-0.003203,-0.004554,-0.005164,-0.002493,-0.00203,0.015207,-0.02918,-0.883853,0.074996,0.054444,-0.056674,-0.008087,0.009237,0.0127,0.083227,0.118264,0.066502,0.356444
