MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.112826,-0.012574,0.365594,0.0001,0.000433,0.000347,0.0,0.0,0.0,0.044331,-0.179622,-0.023266,0.32706,0.015512,-0.006532,0.011666,-0.032615,-0.01869,0.03612,0.3288,0.029149,0.011063,-0.013761,0.007753,-0.003211,0.005882,-0.032676,-0.018761,0.036167,0.261467,0.071096,0.018245,-0.060169,-0.006832,0.001311,0.000975,-0.000995,0.014702,-0.029554,-0.14796
0.112224,-0.012754,0.365812,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.04542,-0.178655,-0.029678,0.344761,-5.6e-05,-0.001668,-0.001552,4.3e-05,-8.7e-05,-4.7e-05,0.152306,0.029633,0.007863,-0.004906,-3.7e-05,-0.001072,-0.000994,-0.003029,0.002845,0.002261,0.068294,0.070796,0.018156,-0.06006,-0.000261,-0.005152,0.004605,-0.035229,0.015336,-0.017203,-0.145184
0.092186,-0.009232,0.335918,-0.035395,-0.018254,-0.019032,-1.203471,-0.114251,1.226323,0.283178,-0.175724,0.012166,0.324749,0.012397,0.050429,0.007269,0.227381,0.083446,0.028411,-0.809984,0.031245,0.029227,-0.014846,0.012944,0.02466,0.002541,0.07804,-0.10518,0.168185,-0.828661,0.060789,0.019923,-0.075001,-0.024733,-0.007805,-0.00853,-4.0876,-0.844315,3.69347,0.166864
0.088123,-0.004842,0.335319,-0.012847,0.006425,0.005365,0.019227,0.059866,0.02968,0.342858,-0.16554,0.035899,0.322205,5.5e-05,-0.002209,-0.001768,-0.0,0.0,0.0,-1.402368,0.03619,0.040654,-0.016181,4.1e-05,-0.001624,-0.001299,-0.001855,0.016677,-0.023371,-0.926635,0.058756,0.022113,-0.075312,0.000537,0.001709,0.001637,0.020321,0.067481,0.041802,0.280024
0.084407,-0.004082,0.344733,-0.013032,0.005374,0.004182,-0.000454,0.000666,-0.004395,0.175977,-0.164665,0.035779,0.322158,9e-06,-0.000309,-0.000248,-0.0,0.0,0.0,-1.402537,0.036622,0.040589,-0.016208,-0.000491,0.00562,-0.003834,0.036535,-0.011439,0.017508,-0.930228,0.056891,0.022488,-0.070603,-0.000204,-0.004445,0.005168,-0.035319,0.01604,-0.016944,0.058929
0.084615,-0.003908,0.349269,-0.009204,0.001707,0.037212,-0.068308,0.009463,0.014646,0.460182,-0.164336,0.035964,0.322365,4e-06,-0.000141,-0.000113,-0.0,0.0,0.0,-1.333717,0.036792,0.040682,-0.016106,2e-06,-8.8e-05,-7.1e-05,3.8e-05,-2.3e-05,3.7e-05,-0.927942,0.056992,0.022571,-0.068352,0.002682,0.004501,0.01306,-0.030332,-0.012104,0.036999,0.426823
0.082249,-0.002699,0.351618,0.001652,0.012556,-0.007112,0.035072,-0.032116,0.041015,-0.192904,-0.164083,0.036915,0.32311,-1e-06,4.5e-05,3.6e-05,-0.0,0.0,0.0,-1.2637,0.036918,0.041157,-0.015733,-1e-06,2.5e-05,2e-05,1.7e-05,-1.5e-05,1.8e-05,-0.929248,0.055806,0.023175,-0.067157,0.000141,0.000423,0.00037,-0.001621,0.001355,-0.001225,-0.320395
0.081326,-0.000481,0.355855,-0.013148,0.004265,0.003038,0.184586,0.464527,0.208371,-0.022672,-0.163888,0.037142,0.323222,3e-06,-0.000102,-8.1e-05,-0.0,0.0,0.0,-1.183423,0.037016,0.04127,-0.015677,4e-06,-5.9e-05,-4.5e-05,6.7e-05,-4.9e-05,5.6e-05,-0.931534,0.055351,0.02429,-0.06504,0.000286,0.00086,0.000725,0.187198,0.587794,0.088178,-0.070397
0.088124,0.002136,0.343968,-0.003516,-0.003529,-0.021176,0.184548,-0.818512,-0.130776,-1.840683,-0.176003,0.048459,0.314481,-0.054089,0.029281,-0.038211,-0.379509,0.362093,-0.092254,0.43008,0.030978,0.046917,-0.020035,-0.027016,0.014721,-0.019013,-1.401114,0.271345,-0.459062,0.407449,0.058747,0.025606,-0.07097,0.005677,0.002522,-0.01557,0.972668,-0.516672,0.537479,-0.909711
0.116449,0.033652,0.327062,0.000935,-0.003739,0.01391,-0.019567,0.228784,0.166808,-1.72724,-0.156901,0.041606,0.335066,0.013787,-0.020562,-0.015866,0.062448,0.167421,-0.205813,-1.054872,0.040493,0.043528,-0.009735,0.006895,-0.010225,-0.007902,0.716084,1.665882,-2.113804,-0.860829,0.072909,0.041368,-0.07944,-6.6e-05,-0.008081,0.010362,-0.037902,0.419053,0.272135,-0.918202
