MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.107085,-0.013364,0.359659,-0.001833,0.000647,-0.017268,0.009448,-0.38433,-0.200881,0.436746,-0.195368,0.026464,0.322242,0.015029,-0.011244,0.024016,-0.020514,-0.080088,-0.036351,0.525721,0.02206,0.032364,-0.015452,0.007763,-0.010914,0.01617,-0.057824,-0.081863,-0.035668,0.523712,0.068615,0.01745,-0.059868,-0.007578,0.006542,-0.012458,0.011495,-0.674379,-0.357032,0.397594
0.102229,-0.01006,0.351105,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.388906,-0.186828,0.019604,0.348188,0.000432,0.009912,0.007184,0.001733,-0.014885,0.024614,0.430557,0.026346,0.028926,-0.002468,0.000513,-0.000708,0.007617,-0.046574,0.099643,-0.162706,0.405816,0.066186,0.019103,-0.064151,6e-06,2.2e-05,1.8e-05,-1e-05,0.000551,-0.001056,0.340605
0.102136,-0.011183,0.349922,-0.00131,-0.004905,-0.00433,-0.000697,0.013566,-0.025418,0.358396,-0.16752,0.018347,0.320046,0.08129,-0.017233,-0.02215,4.204083,0.114052,3.146594,-1.403484,0.035963,0.028292,-0.016534,0.040178,-0.002103,-0.014252,-0.171261,1.390147,0.309573,-0.913245,0.066136,0.018549,-0.064736,-0.000675,-0.002534,-0.002238,-0.000689,0.013721,-0.025722,0.297986
0.128066,-0.010622,0.331053,-0.000615,-0.003247,-0.003081,-0.000603,0.014543,-0.024874,0.20223,-0.146303,0.022665,0.331465,0.041053,-0.009617,0.005319,-0.082437,-1.254808,2.78836,-1.403581,0.046587,0.030461,-0.010823,0.02048,-0.004273,0.003069,-0.14795,0.468892,0.412625,-0.918471,0.079106,0.018826,-0.074174,-0.000224,-0.001184,-0.001123,-0.000375,-0.002095,-0.001266,0.080647
0.138493,-0.011484,0.32705,-0.001194,-0.025964,0.012905,-0.070715,0.029585,-0.034791,0.465809,-0.137188,0.025023,0.332109,-0.001298,0.010229,-0.008674,-0.030485,-0.005653,0.264782,-1.40247,0.051161,0.031631,-0.010498,0.005945,0.005686,-0.004552,-0.025885,0.080759,0.11428,-0.956354,0.084319,0.0184,-0.076184,-0.000501,-0.007759,0.002001,-0.035607,0.02966,-0.042569,0.448377
0.139812,-0.006488,0.332889,-0.018569,-0.037297,-0.01563,-0.02902,-0.13334,0.218413,0.495546,-0.131831,0.023198,0.332362,-8e-05,0.000631,0.000509,-0.071523,0.096491,0.068415,-1.401647,0.053839,0.030722,-0.010375,-3.8e-05,0.000313,0.000253,-0.08563,0.117212,0.079512,-0.974316,0.084985,0.020905,-0.073252,-0.01636,-0.01828,-0.00747,-0.035033,-0.172417,0.380657,0.497691
0.132725,-0.013073,0.335177,7.2e-05,-0.00847,0.01078,-0.034663,0.000651,0.007671,0.484394,-0.132314,0.024641,0.334635,0.000473,-0.003738,-0.002955,-0.002014,0.015608,-0.024171,-1.400738,0.053597,0.031446,-0.009237,0.00019,-0.00148,-0.001163,0.001024,-0.001254,-0.00168,-0.94623,0.081435,0.0176,-0.072119,-7.1e-05,-0.004823,0.004845,-0.035343,0.014878,-0.017396,0.468462
0.132398,-0.001229,0.328232,0.000814,0.004622,0.004263,0.000539,-0.015058,0.024567,-1.916154,-0.13218,0.022586,0.330225,-0.001663,0.012113,-0.024236,0.024716,0.07582,-0.151211,0.537117,0.053663,0.030421,-0.011427,-0.001496,0.011183,-0.01645,0.005172,-0.121649,0.030801,0.518486,0.081271,0.023518,-0.075588,0.000398,0.002302,0.002123,0.000841,-0.014935,0.024297,-0.864153
0.134917,0.006287,0.330677,0.013706,-0.001673,-0.001428,0.000982,-0.014792,0.029505,-1.914055,-0.134525,0.021519,0.313986,-0.01235,-0.01041,0.010086,-1.553292,-0.95136,-0.574006,0.472708,0.052497,0.029885,-0.019569,-0.006763,-5.9e-05,0.000633,-5.287587,-1.914077,-0.963941,0.466397,0.082525,0.027278,-0.074364,-3.6e-05,-0.000222,-0.000199,0.000198,0.003548,0.002134,-0.878359
0.137669,0.007241,0.313546,-0.000836,-0.023202,0.015153,-0.073194,0.385366,0.204656,-1.912912,-0.135318,0.028903,0.332741,-0.0165,0.027834,0.023143,0.003953,-0.106386,0.224806,-1.405165,0.052101,0.03357,-0.01019,-0.002494,0.020374,0.007651,0.071819,-0.169534,0.235508,-0.92141,0.083906,0.027759,-0.082939,-0.000408,-0.011499,0.007672,-0.076075,0.510434,0.289338,-0.871991
0.13423,-0.003653,0.359143,-0.010614,0.01096,0.025694,-0.034064,-0.011255,0.029217,-1.553809,-0.128486,0.02996,0.334536,0.030074,-0.026453,0.009867,-0.125637,0.303486,-0.244118,-1.403051,0.055501,0.034108,-0.009295,0.01434,-0.008222,0.000515,-0.105182,0.407484,-0.422762,-0.936922,0.082192,0.022302,-0.060142,-0.005436,0.004792,0.012322,-0.034829,0.002069,0.003898,-0.84962
0.135171,0.003117,0.37698,0.002482,0.015481,0.010449,-0.004279,0.062444,-0.126629,-1.516898,-0.128223,0.033119,0.332759,0.001521,-0.010623,-0.008231,-0.068462,0.352634,0.11759,-1.403586,0.055642,0.035687,-0.010174,0.000799,-0.005556,-0.004304,-0.094299,0.555842,0.258997,-0.905244,0.082656,0.02568,-0.051221,-0.005373,0.008294,0.005702,-0.000124,0.001983,-0.003729,-0.891259
0.132516,0.008056,0.380538,-0.01298,0.001435,0.001147,-0.001011,0.014708,-0.029535,-1.186762,-0.127028,0.028363,0.319365,0.002009,-0.013865,-0.011958,0.084911,-0.57206,-0.474994,-1.403619,0.056239,0.033311,-0.016868,0.001009,-0.006911,-0.005964,0.035909,-0.090999,-0.138194,-0.93186,0.081335,0.028162,-0.049434,-0.006329,0.005873,-0.004015,0.03772,-0.000438,-0.009258,-0.86105
0.129382,0.013649,0.360006,-0.000966,-0.005358,-0.003825,0.0,0.0,0.0,-1.120202,-0.125056,0.027482,0.316011,-9e-06,5.9e-05,5.3e-05,-1.387399,-2.157064,1.930642,-1.405079,0.057227,0.03286,-0.018554,-0.000837,0.005867,-0.003624,-1.490579,-0.580419,-0.609405,-0.921083,0.079764,0.030962,-0.059697,-0.000581,-0.003231,-0.002304,-0.000662,0.014074,-0.025137,-0.901056
