MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.108726,-0.01321,0.347003,7e-06,3e-05,2.7e-05,-0.0,-0.0,-0.0,-0.039222,-0.22694,-0.015171,0.321055,8.3e-05,0.000454,0.00046,0.0,0.0,0.0,0.084502,0.01639,0.040125,-0.033816,5.1e-05,0.000286,0.000289,-0.010873,0.102507,-0.17008,-0.059536,0.068735,0.045909,-0.052674,-0.000369,-0.005527,0.004217,-0.034165,0.015897,-0.01741,-0.267556
0.124248,-0.012783,0.354397,0.030094,-0.009386,0.027943,-0.418346,0.605654,-0.410505,-1.469383,-0.228535,-0.014636,0.321948,-0.027969,0.007032,0.008046,-0.011185,0.017376,-0.041727,-0.041375,0.015603,0.040387,-0.033376,-0.006674,0.003487,0.003767,-0.02187,-0.039295,0.046329,-0.190985,0.076484,0.046119,-0.048993,0.015149,-0.004111,0.014438,-1.393946,1.807191,-1.789208,-1.131526
0.128872,-0.016469,0.396175,0.002639,-0.002167,0.031375,0.223983,-0.065988,-0.379597,-1.894068,-0.236129,-0.014585,0.331319,-0.014731,-0.000765,-0.000327,-0.002045,0.015205,-0.029245,-0.27662,0.011802,0.04042,-0.028683,-0.000305,-0.001472,-0.001416,-0.001621,0.014445,-0.024911,-0.445555,0.078805,0.044272,-0.028119,0.008106,-0.002161,0.014928,3.17105,-0.786755,-4.390744,-1.165001
0.135943,-0.015434,0.416811,-0.002684,0.009044,-0.041967,0.104816,-0.015012,0.002545,-1.303026,-0.243205,-0.0169,0.333149,-0.014614,0.00033,0.000627,0.387971,0.113658,0.262806,-0.364755,0.008262,0.039255,-0.027775,-0.014488,0.000911,0.001219,1.312847,0.363358,0.921867,-0.525567,0.082343,0.044794,-0.017757,0.005237,0.003753,-0.021593,0.10581,-0.029715,0.032171,-1.131363
0.139532,-0.018316,0.398695,0.000643,0.004407,0.002941,-0.0,-0.0,-0.0,-0.860421,-0.24576,-0.013798,0.366762,-0.005721,0.036543,0.029483,0.262969,-0.66859,-0.261406,-0.680277,0.006985,0.040785,-0.010991,-0.002959,0.012837,0.019131,-0.003998,-0.177825,-0.060581,-0.848719,0.084141,0.043346,-0.026843,0.000334,0.002315,0.001548,-6.1e-05,2e-06,8.1e-05,-0.880548
0.139126,-0.018343,0.398794,-0.000105,-0.000715,-0.000477,0.0,-0.0,-0.0,-0.82315,-0.253638,-0.013548,0.383074,-0.004334,0.002379,-0.031955,0.024827,0.142337,0.050767,-0.625337,0.003046,0.04095,-0.002785,-0.009009,-0.003211,-0.010503,-0.002669,0.146648,-0.002095,-0.800222,0.083934,0.043336,-0.026785,-6.7e-05,-0.000453,-0.000302,5e-05,7.1e-05,0.000252,-0.869445
0.142234,-0.014294,0.388796,4.4e-05,0.009493,-0.00994,0.030867,-0.008953,0.015333,0.207796,-0.249241,-0.004124,0.360163,0.025755,0.02079,-0.036263,-2.776465,-0.806874,-4.380119,0.405154,0.005229,0.045642,-0.014248,0.012937,0.0105,-0.018058,0.342408,-0.751863,0.127416,0.36502,0.085487,0.045356,-0.03178,1.9e-05,0.004691,-0.00501,0.024148,-0.004589,0.011607,0.061475
0.141877,-0.013483,0.38804,-5.5e-05,-0.000394,-0.000271,0.0,0.0,0.0,0.089429,-0.239421,-0.005086,0.350999,0.000288,0.00136,0.001124,0.0,-0.0,-0.0,0.270764,0.01015,0.045167,-0.018845,0.000173,0.000821,0.00068,-0.011478,0.095929,-0.173623,0.194544,0.085309,0.045766,-0.032162,-3e-05,-0.000213,-0.000147,-1e-06,6e-06,9e-06,-0.101489
0.141667,-0.01281,0.387482,1e-06,9e-06,6e-06,0.0,0.0,0.0,0.098564,-0.236129,-0.002707,0.351255,0.002892,-0.007018,0.029135,0.008557,-0.127215,-0.091697,0.263592,0.011795,0.046361,-0.018727,0.001526,-0.00303,0.014955,0.008239,-0.144064,-0.076247,0.173153,0.085204,0.046102,-0.032441,-0.0,0.0,0.0,-1.9e-05,4e-06,3.2e-05,-0.089569
0.141497,-0.012199,0.386981,0.0,1e-06,0.0,0.0,0.0,0.0,0.107793,-0.235445,-0.006207,0.35126,-0.025769,-0.021017,0.036478,0.329963,-0.30517,-0.223713,0.165558,0.012146,0.044606,-0.018735,-0.01287,-0.010315,0.018408,0.897324,0.061139,-0.651526,0.025375,0.085119,0.046408,-0.032692,-2e-06,-6e-06,-2e-06,6e-06,-1e-06,-5e-06,-0.078955
0.140344,-0.011397,0.386665,0.0,0.0,0.0,0.0,0.0,0.0,0.122297,-0.241436,-0.004856,0.366066,-0.012776,-0.005517,0.013351,0.133434,-0.287222,-0.18906,0.335891,0.009149,0.045291,-0.011312,-0.006581,-0.008769,0.010609,0.193406,-0.436613,-0.299226,0.272924,0.084542,0.046808,-0.03285,1e-06,1e-06,-2e-06,-5e-06,-1.2e-05,1.3e-05,-0.058707
0.140162,-0.0106,0.386292,0.0,0.0,0.0,0.0,0.0,0.0,0.122898,-0.247168,-0.005481,0.37163,-0.002828,-0.002139,-0.018421,-0.168672,0.390611,0.168908,-1.402019,0.006276,0.044969,-0.008523,0.005446,-0.001348,-0.009695,-0.286849,0.577621,0.309961,-0.701758,0.084451,0.047207,-0.033036,2e-06,-0.0,-2e-06,1.6e-05,-1.4e-05,4e-05,-0.054135
0.140563,-0.007531,0.380823,-0.001687,0.015338,-0.038685,-0.069229,-0.447615,-0.405759,0.048465,-0.244513,0.003411,0.329649,0.027359,-0.014373,0.004512,1.013484,0.590538,0.964673,-1.40786,0.007593,0.049419,-0.029523,0.006636,-0.006248,0.003226,3.689344,1.111884,3.832199,-0.774912,0.084653,0.048741,-0.035752,-0.007724,0.002515,-0.014594,-0.082811,-0.42317,-0.784599,-0.150966
0.125722,-0.004603,0.36611,-0.028367,0.013499,-0.023627,-0.110642,-0.480385,-0.071056,0.007006,-0.229785,-0.001762,0.33487,0.027814,-0.001847,-0.00273,-0.171835,0.501143,0.156558,-1.409076,0.014959,0.046833,-0.026904,0.013887,-0.006538,0.002685,-0.237199,0.503043,0.369327,-0.817694,0.077242,0.050204,-0.043116,-0.007438,0.005658,-0.012638,-0.180021,-0.530264,-0.279283,-0.223304
0.078507,-0.00245,0.354493,-0.015819,0.004285,-0.014904,0.032821,0.009875,-0.039286,0.039581,-0.219003,0.002756,0.341827,-0.012505,0.020638,0.000283,0.035842,-0.01383,0.011713,-1.408556,0.020364,0.049086,-0.023427,0.000612,0.004172,0.003445,-0.011317,0.002855,0.032817,-0.859496,0.053629,0.051279,-0.048932,-0.008434,-0.003168,-0.003033,-0.001096,0.028456,-0.055508,-0.176603
0.071817,-0.004081,0.347755,-5.5e-05,-0.000151,-0.000138,0.0,0.0,0.0,0.0406,-0.220036,0.005738,0.348303,-0.00018,-0.0012,-0.000941,1.41115,0.872218,0.047216,-1.408387,0.019843,0.050581,-0.020192,-9e-05,-0.000689,-0.000554,1.468411,0.883947,0.114504,-0.872233,0.050279,0.050466,-0.052305,-2.7e-05,-7.5e-05,-6.9e-05,5e-06,-4e-06,0.0,-0.174807
0.072799,-0.004,0.347333,-1.3e-05,-3.6e-05,-3.3e-05,0.0,0.0,0.0,0.044971,-0.223917,0.004014,0.356828,0.013483,-0.000276,-0.000902,0.001881,-0.014754,0.029506,-1.408255,0.017897,0.04972,-0.015928,5.7e-05,0.00036,0.000272,0.004305,-0.006719,-0.004167,-0.868151,0.05077,0.050506,-0.052516,-4e-06,-8e-06,-7e-06,-0.0,-2e-06,3e-06,-0.169744
0.063647,-0.003266,0.347476,-0.044104,0.003495,0.000184,-0.003458,0.058055,-0.113895,0.054366,-0.216814,0.006647,0.352189,0.014555,-0.004596,0.012562,-0.03261,-0.015444,0.037824,-1.407932,0.021453,0.051029,-0.018253,0.007288,-0.002207,0.006339,-0.029276,-0.020556,0.031184,-0.868151,0.046223,0.050879,-0.052445,-0.021958,0.001982,0.000331,-0.003465,0.058048,-0.113937,-0.154722
0.004779,-0.00283,0.366598,-0.059186,-0.002037,0.028148,-0.070294,0.116945,-0.171304,0.180653,-0.213295,0.006297,0.354524,0.01333,-0.000712,-0.001302,-0.107288,0.235641,0.17808,-1.407438,0.023208,0.050859,-0.017082,0.006664,-0.000362,-0.000657,0.106593,0.084985,0.15729,-0.875009,0.016785,0.051096,-0.042892,-0.030258,-0.005672,0.019158,-0.103744,0.127246,-0.157256,0.005793
-0.015096,-0.002275,0.384836,0.014985,0.003844,-0.013084,0.004634,-0.087506,0.021973,0.258231,-0.211016,0.006854,0.352769,6e-06,4.9e-05,3.7e-05,0.0,0.0,0.0,-1.407431,0.024352,0.051137,-0.01796,2e-06,2.1e-05,1.7e-05,0.001678,-0.000755,0.006491,-0.868641,0.006818,0.05137,-0.033757,0.006577,-0.002956,-0.001723,-0.017746,-0.048312,0.015488,0.177411
-0.012612,0.002055,0.38397,0.003971,0.005905,0.005526,0.000439,0.000597,-0.001874,0.386674,-0.210243,0.00724,0.352299,0.013404,-4.6e-05,-0.000821,-0.127735,0.275918,0.204391,-1.407674,0.024734,0.051329,-0.018196,4.7e-05,0.000394,0.000292,0.117998,0.055307,0.152836,-0.872396,0.008066,0.053536,-0.034195,0.001984,0.002957,0.002761,-0.001822,-0.001435,0.005074,0.328292
-0.012678,0.003342,0.386505,0.003013,0.004481,0.004115,0.043614,0.070167,0.061861,-0.826379,-0.207203,0.007668,0.352413,0.026644,-0.00106,-0.002414,0.007808,-0.038531,0.053596,-0.608814,0.026249,0.051545,-0.018136,0.006661,-0.000288,-0.000629,-0.022126,0.005889,0.038005,-0.524261,0.008029,0.054174,-0.032933,-0.005167,0.004878,0.003495,0.042157,0.102299,0.010735,-0.781104
-0.010261,0.005778,0.388217,0.000555,0.000838,0.000747,-0.051006,0.223482,0.070443,-1.897192,-0.212798,0.007866,0.352535,-0.013342,0.000474,0.001126,-0.00193,0.014982,-0.029381,0.395654,0.023461,0.051642,-0.018078,-0.006674,0.000246,0.000582,-0.004295,0.020374,-0.026425,0.359468,0.009239,0.055394,-0.032075,0.007724,0.00256,-0.005992,-0.316234,0.379904,0.13679,-1.033878
