MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.238366,-0.060022,0.352408,-1e-06,1e-05,1e-05,0.0,0.0,0.0,0.520352,-0.228273,-0.038887,0.320489,-2e-06,-9e-06,-1e-05,0.0,0.0,0.0,0.534072,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.247731
0.236517,-0.062524,0.351344,-0.010825,-0.047129,0.011484,-0.012012,0.505083,-0.146088,-1.779541,-0.229447,-0.03811,0.318196,-0.016303,0.007024,-0.012592,0.028354,0.00697,-0.009211,-0.701979,0.007552,0.038483,-0.001293,-0.00811,0.003473,-0.006471,0.050076,-0.010293,-0.009194,-0.265798,0.119743,0.022806,-0.031245,-0.005844,-0.018883,0.000645,-0.213549,1.108523,-0.36653,-0.732377
0.236983,-0.061272,0.349505,2.7e-05,-0.000207,-0.000225,0.0,-0.0,-0.0,0.342242,-0.23893,-0.034122,0.312058,-0.014731,0.014217,-0.004452,-0.252067,0.274381,0.163516,0.224776,0.002824,0.040475,-0.004361,-0.007465,0.006679,-0.002723,-0.390449,0.397212,0.235613,0.154675,0.119978,0.02341,-0.032166,1.7e-05,-0.00014,-0.000152,-8.3e-05,6.1e-05,0.000326,0.320684
0.23665,-0.06134,0.34948,1.9e-05,-0.000144,-0.000156,0.0,0.0,0.0,0.294476,-0.244339,-0.026592,0.315221,-0.017997,0.010049,-0.030067,0.068158,-0.00096,-0.022576,0.223777,0.000106,0.044238,-0.00279,-0.008959,0.005108,-0.014927,0.068047,-0.00106,-0.022757,0.105035,0.119806,0.023376,-0.032178,1.1e-05,-9.2e-05,-9.9e-05,0.004529,-0.076923,0.18349,0.19593
0.236394,-0.061289,0.349695,1e-06,-9e-06,-1e-05,0.0,-0.0,-0.0,0.292302,-0.236696,-0.019017,0.318948,0.001514,0.007034,0.007416,0.00155,-0.014779,0.02469,0.377558,0.003931,0.048037,-0.000913,0.000704,0.003307,0.003486,0.00165,-0.014599,0.024908,0.336417,0.119677,0.023401,-0.03207,1e-06,-0.0,1e-06,-7e-05,5.9e-05,0.000215,0.190214
0.236215,-0.061298,0.349855,-1.3e-05,0.000104,0.000112,0.0,0.0,0.0,0.3131,-0.239222,-0.021546,0.32479,-0.001433,-0.006459,-0.006676,-0.0016,0.014411,-0.024903,0.177632,0.002667,0.046769,0.002004,-0.000814,-0.009086,0.000492,-0.037428,0.02954,-0.040669,0.076622,0.119588,0.023397,-0.03199,-9e-06,7.2e-05,7.7e-05,0.004494,-0.0768,0.183648,0.21977
0.233928,-0.060798,0.34811,-0.031624,0.007704,-0.02946,0.068209,0.029665,-0.041558,0.251905,-0.241266,-0.020982,0.319235,-0.003933,0.025821,-0.052889,0.088415,-0.039751,0.056312,-1.405783,0.001643,0.047047,-0.000777,-0.001918,0.012977,-0.02637,0.128693,-0.056339,0.045491,-0.884016,0.118443,0.023654,-0.032855,-0.015769,0.003622,-0.014968,0.068208,0.029672,-0.041441,0.175518
0.12808,-0.042686,0.30614,-0.095276,0.027317,-0.036027,-0.13146,-0.644631,-0.570691,0.223524,-0.237644,-0.012855,0.269313,0.065698,-0.026368,-0.083819,-0.218036,0.378142,0.06496,-1.406487,0.003426,0.051109,-0.025721,0.02531,-0.012469,-0.040946,-0.230799,0.650785,-0.087814,-0.938065,0.065554,0.032686,-0.053846,-0.055354,0.014642,-0.017007,-0.215423,-0.858078,-0.722891,0.018923
0.10946,-0.046171,0.28547,-0.000853,-0.003149,-0.004664,-0.015376,0.418818,-0.70992,0.518457,-0.186833,-0.024229,0.259392,0.032575,-0.003701,0.016699,-0.1522,0.113653,0.215272,-1.405941,0.028849,0.045424,-0.030706,0.015919,0.003506,0.003921,-0.14481,0.047355,0.400683,-0.962722,0.056211,0.030961,-0.064181,-0.008331,-0.000252,-0.001109,-0.015021,0.415436,-0.709865,0.511081
0.110024,-0.041538,0.281046,-0.000241,-0.000892,-0.001328,0.0,0.0,0.0,0.490321,-0.175301,-0.023305,0.262964,-2e-06,-6.4e-05,-9.4e-05,0.002464,-0.003009,-0.002321,-1.404527,0.034627,0.045884,-0.028916,0.007796,0.000326,-0.000345,-0.010086,-0.004535,0.040323,-0.95766,0.056493,0.03328,-0.066389,-0.000202,-0.000749,-0.001117,-0.000243,-7e-06,-3.6e-05,0.487077
0.11635,-0.038556,0.285594,0.032835,0.001753,0.004778,0.379933,2.225846,-2.005246,-1.413147,-0.176718,-0.025275,0.258028,-0.032207,-0.018021,-0.024187,0.036347,0.06853,-0.071112,0.359275,0.03393,0.044913,-0.031365,-0.023941,-0.009226,-0.011576,0.132962,0.058953,0.093459,0.262773,0.059644,0.034771,-0.064118,0.008474,0.001535,0.002734,0.096269,0.217674,0.215654,-0.986457
0.11769,-0.040017,0.275711,-0.017564,-0.004793,-0.008526,1.288396,-0.764987,-0.760448,-1.907423,-0.184831,-0.025877,0.248102,-0.000188,-0.002434,-0.003983,-0.000652,0.035242,-0.010689,0.422615,0.029862,0.044603,-0.036338,-9.5e-05,-0.001255,-0.002064,0.022424,0.013288,-0.02739,0.356829,0.060331,0.034037,-0.069063,-0.008693,-0.002382,-0.004111,4.389893,-2.473168,-2.32163,-1.098638
0.108189,-0.043303,0.271079,-0.00076,-0.011657,0.007356,-0.03497,0.016749,-0.016379,-1.548447,-0.184816,-0.024568,0.247016,-1.1e-05,-0.000145,-0.000238,-0.014334,0.017882,0.014291,0.347508,0.029869,0.045253,-0.03689,-0.0,-1.9e-05,-3.1e-05,0.006477,0.001096,-0.000211,0.284328,0.055575,0.032394,-0.071378,-0.000386,-0.005848,0.003649,-0.035122,0.016819,-0.016347,-1.01242
0.099657,-0.036799,0.281653,-0.060228,0.072485,0.09826,0.472889,1.477738,-0.382743,0.521451,-0.223048,-0.006687,0.243148,-0.059199,0.014851,0.02471,0.18938,-0.29739,-0.076968,-1.401603,0.010754,0.054194,-0.038824,-0.029618,0.007463,0.012446,0.190794,-0.290297,-0.087046,-0.892997,0.051327,0.035598,-0.066162,-0.037797,0.03826,0.051317,0.27376,1.112223,-0.610713,0.519408
