MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.206087,-0.023044,0.38531,-2.5e-05,0.000529,0.000384,0.0,0.0,0.0,0.381496,-0.248768,-0.029295,0.364615,-7e-06,-2.8e-05,-2.5e-05,0.0,0.0,0.0,-0.479634,0.004483,0.030196,0.009809,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282637
0.206153,-0.023158,0.385035,3e-06,-5.5e-05,-4e-05,0.0,0.0,0.0,0.438339,-0.248666,-0.029362,0.364458,0.014626,-9.9e-05,-0.00046,0.002029,-0.015188,0.029255,-0.478142,0.004483,0.030196,0.009809,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282964
0.208649,-0.014036,0.367701,-0.018914,0.075216,-0.112713,-0.303273,-1.450305,0.03255,-1.909826,-0.244485,-0.022057,0.337468,-0.009206,-0.049682,-0.029059,-0.042483,0.081717,-0.142843,-1.398199,0.006693,0.033371,-0.002704,-0.004496,-0.019236,-0.018643,-0.027169,0.106217,-0.151395,-0.813801,0.102974,0.033044,-0.034038,-0.002418,0.038173,-0.056271,-1.270243,-0.538562,-2.015907,-1.120682
0.195884,-0.006867,0.353774,-3e-06,0.000144,0.000115,0.0,0.0,0.0,-0.423795,-0.263291,-0.025686,0.33692,-0.008796,0.021471,0.021734,-0.008638,0.068613,-0.127953,0.466389,-0.00271,0.031527,-0.003,-0.004533,0.010332,0.01047,0.001334,-0.011725,0.021937,0.45415,0.096587,0.036657,-0.041042,-1e-06,7.6e-05,6e-05,5.3e-05,-2.5e-05,-8.7e-05,-0.569413
0.195955,-0.006832,0.353735,-0.0,0.0,0.0,0.0,0.0,0.0,-0.421601,-0.270228,-0.027764,0.344293,-0.001877,-0.01545,0.004075,-0.024125,0.017469,-0.047895,0.432847,-0.00618,0.030505,0.000696,-0.000724,-0.002271,-0.002253,-0.010769,-0.002141,-0.009275,0.407286,0.096622,0.036675,-0.041062,-1e-06,-1e-06,-0.0,3.3e-05,-5e-06,-6.7e-05,-0.560269
0.195925,-0.006635,0.354242,-0.0,1.4e-05,1.1e-05,0.0,0.0,0.0,-0.423261,-0.270837,-0.030674,0.341553,0.020326,-0.003755,-0.062727,-0.019201,0.078437,0.097997,0.433594,-0.006497,0.029039,-0.000655,0.010044,-0.002361,-0.031864,-0.012168,0.096267,0.088138,0.387201,0.096607,0.036776,-0.040807,1e-06,-6.6e-05,-5.3e-05,-1.7e-05,5e-06,3.1e-05,-0.560596
0.195966,-0.006606,0.354263,-2e-06,0.000103,8.2e-05,0.0,0.0,0.0,-0.423985,-0.272453,-0.030475,0.357191,0.0022,0.006858,0.006462,0.001963,-0.012542,0.025869,0.393459,-0.007295,0.029138,0.007142,0.001087,0.003399,0.003197,-0.013812,0.086033,-0.17842,0.367606,0.096628,0.036788,-0.040798,-1e-06,4.9e-05,3.8e-05,-1.9e-05,1e-06,4.2e-05,-0.560759
0.195935,-0.006651,0.354177,-0.0,5e-06,4e-06,0.0,0.0,0.0,-0.423382,-0.280469,-0.011781,0.340744,0.051061,-0.0438,-0.00332,-0.02574,-0.089929,0.159014,-1.111986,-0.011321,0.038507,-0.001074,0.032438,-0.023583,-0.003227,-0.052403,-0.002225,0.012867,-0.905081,0.096612,0.036766,-0.040841,2e-06,-8e-06,-7e-06,1e-06,9e-06,1.8e-05,-0.560759
0.195727,-0.006602,0.354212,2.3e-05,-0.001193,-0.000946,0.0,0.0,0.0,-0.374777,-0.266866,-0.024335,0.353878,0.002438,-0.001486,0.01734,0.244203,-0.184184,-0.104824,0.239107,-0.004498,0.032221,0.005491,-0.005849,0.005372,0.004999,0.392538,-0.157188,-0.310434,0.131978,0.096508,0.036792,-0.040822,1.6e-05,-0.000777,-0.000617,-1.3e-05,-2e-06,1.3e-05,-0.526631
0.195717,-0.006628,0.354179,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.372675,-0.267815,-0.023123,0.357979,-0.002835,0.009661,-0.028261,0.07292,-0.015718,0.017761,-1.368697,-0.004975,0.032814,0.007549,-0.001485,0.004562,-0.014366,0.086408,-0.101874,0.227347,-0.816577,0.096503,0.036776,-0.04084,1e-06,4e-06,1e-06,2e-06,-8e-06,-1.1e-05,-0.523365
