MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.232047,-0.051028,0.364651,-4.1e-05,0.000346,0.000329,-0.030928,0.03198,0.141203,0.520572,-0.258133,-0.033203,0.341896,4.9e-05,0.000175,0.000177,0.0,0.0,0.0,0.534971,-0.002953,0.037114,0.013038,3e-06,9e-06,7e-06,-1.8e-05,5e-06,1e-05,0.28743,0.11873,0.025265,-0.024409,0.0,-1.2e-05,-1.2e-05,0.000309,-0.000224,0.000113,0.11951
0.232069,-0.051021,0.364671,-4e-06,3e-05,2.9e-05,-0.0,0.0,0.0,0.520742,-0.258192,-0.033247,0.341925,-0.014944,0.001051,0.001103,-0.002045,0.015205,-0.029245,0.534189,-0.002953,0.037114,0.013038,3e-06,9e-06,7e-06,-1.8e-05,5e-06,1e-05,0.28743,0.11873,0.025265,-0.024409,0.0,-1.2e-05,-1.2e-05,0.000309,-0.000224,0.000113,0.11951
0.232123,-0.050922,0.363618,0.000719,-0.008754,0.010725,-0.035413,0.005336,-0.022106,-1.837744,-0.258222,-0.033403,0.341619,0.014958,-0.001036,-0.001086,0.002044,-0.015205,0.029245,-1.089588,-0.002953,0.037114,0.013038,3e-06,9e-06,7e-06,-1.8e-05,5e-06,1e-05,0.28743,0.11873,0.025265,-0.024409,0.0,-1.2e-05,-1.2e-05,0.000309,-0.000224,0.000113,0.11951
0.228911,-0.054033,0.358089,4.4e-05,0.001883,-0.017596,0.034777,0.00544,-0.004638,0.511443,-0.255289,-0.039693,0.336071,0.030559,-0.001448,-0.001535,0.004089,-0.03041,0.058491,0.518167,-0.001557,0.033834,0.009966,0.007879,0.000504,0.000528,-0.000535,-0.018849,0.033213,0.49089,0.117081,0.023699,-0.027563,-0.007548,0.000305,-0.008819,0.0338,0.020131,-0.034229,0.47336
0.218353,-0.045539,0.3437,-0.015823,0.008738,-0.009705,0.034641,0.007453,-0.008355,0.517344,-0.256513,-0.033912,0.319777,-0.001193,0.0161,-0.023581,0.158418,-0.14849,-0.040068,0.381904,-0.002159,0.036718,0.001827,-0.008245,0.008463,-0.011374,0.118503,-0.095004,-0.11186,0.334458,0.111808,0.027944,-0.034759,-0.00035,0.004905,-0.004852,0.035672,-0.007273,0.021109,0.511244
0.21619,-0.042322,0.337337,-0.0,0.0,0.0,0.0,0.0,0.0,0.499437,-0.265808,-0.037114,0.335989,0.001038,-0.00641,0.013409,0.327691,-0.313869,0.217456,0.30289,-0.006806,0.035123,0.009917,0.000428,-0.003455,0.006424,0.116898,0.533237,1.551419,0.229625,0.11072,0.029556,-0.037944,1e-06,-1e-06,-2e-06,9e-06,1e-05,3e-06,0.489363
0.216297,-0.042543,0.337116,0.000131,-0.001798,-0.00187,0.0,0.0,0.0,0.496124,-0.270466,-0.042469,0.343876,-0.000324,-0.001004,-0.001072,0.001349,-0.002136,-0.001136,0.153556,-0.009134,0.032446,0.013869,-0.000179,-0.000546,-0.00058,-0.007832,0.009669,-0.002982,0.026002,0.110774,0.029448,-0.038052,7.7e-05,-0.001066,-0.001109,-0.000851,0.012668,-0.025866,0.484627
0.216431,-0.042804,0.336851,-6.4e-05,0.000879,0.000917,0.0,0.0,0.0,0.495799,-0.271212,-0.045645,0.345146,-0.00047,-0.001445,-0.001558,0.0,0.0,0.0,-0.173773,-0.009508,0.030857,0.014502,0.00722,-0.002046,-0.002065,0.002023,-0.015229,0.029125,-0.337483,0.110841,0.029313,-0.03819,-4.9e-05,0.000606,0.000625,-3.9e-05,-4.5e-05,-1.4e-05,0.483648
0.216391,-0.042546,0.33606,-0.0,0.0,0.0,0.0,0.0,0.0,0.497455,-0.267212,-0.039086,0.335287,0.000991,0.032413,-0.025995,-0.114944,0.295114,0.238613,-1.066101,-0.007509,0.034123,0.009582,0.000418,0.011042,-0.00841,-0.242169,0.424719,0.276272,-0.847766,0.110821,0.029444,-0.038583,3e-06,-1e-06,-4e-06,1.1e-05,3e-06,-2e-06,0.48577
0.202553,-0.036584,0.315292,-0.04595,-0.004356,-0.022956,-0.135395,-0.33698,0.120721,0.465154,-0.235715,-0.026767,0.300487,0.057202,0.013783,-0.049112,-0.249628,0.36948,0.412879,-1.405178,0.008239,0.040295,-0.007827,0.028646,0.006936,-0.024546,-0.30789,0.399103,0.420658,-0.930718,0.103919,0.03242,-0.048967,-0.022971,-0.001777,-0.010996,-0.192981,-0.40224,0.118105,0.432538
