MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.153563,0.03183,0.385903,-0.034496,0.038135,-0.183062,-0.861613,-1.920701,-0.814943,-0.392768,-0.172639,0.050391,0.361098,0.125621,-0.011761,-0.131576,-0.108978,0.874434,-0.668361,-1.403049,0.004011,0.041443,-0.002306,0.069228,-0.011593,-0.062318,-0.212449,1.042408,-0.704855,-0.776571,0.114713,0.038261,-0.04815,-0.01723,0.017844,-0.092152,-0.871222,-1.906657,-0.827064,-0.534959
0.068276,0.02627,0.330459,-0.044223,-0.002123,-0.004524,-0.005085,-0.14357,0.195007,-0.03488,-0.107118,0.039304,0.316379,0.067784,-0.010869,0.050868,0.019554,-0.544552,-0.499758,-1.404253,0.036801,0.035858,-0.024763,0.027341,-0.006432,0.02541,-0.27334,-0.605915,-0.717683,-0.811352,0.072081,0.035434,-0.075898,-0.021851,-0.000412,-0.00165,-0.003087,-0.048489,0.053725,-0.24969
0.058785,0.021358,0.347361,0.001751,-0.010171,0.02654,0.119493,0.516994,0.290301,0.140697,-0.099751,0.040408,0.323808,-0.000107,0.000445,0.000368,0.0,-0.0,-0.0,-1.40369,0.040511,0.036421,-0.021018,-8.4e-05,0.000346,0.000285,8e-06,1.3e-05,-3e-06,-0.826701,0.067321,0.032989,-0.067457,0.000783,-0.005276,0.013106,-0.073489,0.010364,-0.014205,0.013861
0.075694,0.017107,0.342361,0.010999,-0.009408,-0.007374,0.132646,-1.144391,0.029277,-1.915546,-0.108202,0.047551,0.316202,-0.01544,0.014682,-0.019764,-0.17349,1.024744,-0.523133,0.171998,0.036276,0.040007,-0.024808,-0.00762,0.006925,-0.010225,-0.176643,1.046809,-0.605632,0.069764,0.075771,0.03086,-0.069941,0.005317,-0.005247,-0.004132,0.494747,-1.332439,-0.143484,-0.802266
0.071009,0.008571,0.335484,-0.000166,-0.000441,-0.000411,-0.01744,0.064351,-0.108406,-1.479737,-0.092683,0.044451,0.309885,0.013137,0.00199,-0.000218,0.002032,-0.015175,0.029202,0.39365,0.044034,0.038442,-0.027979,0.006598,0.000886,-0.000215,0.003432,-0.018743,0.034383,0.348174,0.073433,0.026588,-0.073383,-4.9e-05,-0.000129,-0.000118,-0.017571,0.06422,-0.10875,-0.757197
0.07296,0.011351,0.332793,0.03124,0.027062,-0.02843,-1.305105,1.553919,-1.728794,0.418223,-0.103782,0.056636,0.316553,-0.064828,0.061247,0.006805,-4.201768,-5.212243,1.16801,-1.404735,0.03849,0.044533,-0.024648,-0.032481,0.030625,0.003536,-4.223503,-5.165003,1.182868,-0.786532,0.074399,0.027975,-0.074713,0.008076,0.009504,-0.009396,-5.443041,0.10716,-0.408705,0.358241
0.063186,0.038846,0.343225,-0.042663,-0.001418,-0.002944,0.1305,0.303983,0.047656,0.018379,-0.13986,0.079251,0.323553,-0.012209,0.001779,-0.027129,-0.357409,0.751198,1.91388,-1.406223,0.020443,0.05585,-0.021141,-0.005909,0.000654,-0.013696,-0.441645,0.776949,1.946543,-0.826864,0.069525,0.041734,-0.069506,-0.021409,-0.000902,-0.001601,0.169113,0.3611,0.080871,-0.17523
0.033998,0.041899,0.368991,-0.00898,0.010553,0.007052,-0.020651,-0.027402,-0.020594,-0.158739,-0.139876,0.082136,0.340054,-0.000402,0.003167,0.001852,8.4e-05,-2.4e-05,-2.7e-05,-1.405449,0.020443,0.057287,-0.012893,0.005446,0.002478,0.001003,-0.014276,0.087812,-0.10516,-0.840907,0.054933,0.043254,-0.056627,-0.004427,0.005409,0.003622,-0.003908,-0.010249,-0.016255,-0.322191
0.02972,0.040149,0.376296,-3.2e-05,-6.1e-05,-4.3e-05,0.0,0.0,0.0,-0.062621,-0.140768,0.086657,0.337254,-0.000298,0.001884,-0.012685,0.01821,0.129583,-0.160913,-1.404989,0.019997,0.059543,-0.014291,-0.00093,0.006972,-0.009704,0.070886,-0.001934,0.014088,-0.846133,0.052789,0.04238,-0.052974,-9e-06,-1.7e-05,-1.2e-05,1.8e-05,-2e-06,-4e-05,-0.254752
0.029885,0.039282,0.375754,0.0,0.0,0.0,0.0,0.0,0.0,-0.030729,-0.136142,0.084607,0.338788,0.002225,-0.015964,0.004491,-0.037742,0.024276,-0.042891,-1.404393,0.022309,0.058531,-0.013527,0.000228,-0.0016,-0.000937,-0.008824,0.006725,-0.007537,-0.855277,0.052872,0.041947,-0.053244,1e-06,-3e-06,-7e-06,3e-06,-7e-06,-1.3e-05,-0.230096
