MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.059744,0.026676,0.347208,0.027186,-0.018128,0.02112,-0.068781,-0.001982,0.055852,-1.077309,-0.103095,0.047708,0.30435,-0.014582,0.004646,0.00616,-0.270669,0.447546,0.624606,0.129289,0.037908,0.040932,-0.031665,-0.007252,0.002134,0.002916,-0.298502,0.494969,0.671635,-0.091241,0.068181,0.034886,-0.068972,0.008021,-0.00157,0.007716,-0.045427,-0.006671,0.037274,-0.718498
0.063497,0.03071,0.349271,-0.003539,-0.001689,-0.018276,0.020452,-0.463448,-0.326948,-0.638151,-0.12014,0.049259,0.302211,0.041302,-0.011634,0.019246,-0.067266,-0.02802,0.050481,0.413843,0.029364,0.041716,-0.032736,0.013189,-0.000428,0.006595,-0.01105,-0.163256,0.21676,0.37577,0.07007,0.0369,-0.067923,-0.008017,0.001187,-0.007814,0.016743,-0.534145,-0.376232,-0.67294
0.056895,0.02661,0.339909,-0.002361,-0.005506,-0.00478,0.00011,0.015425,-0.024345,-0.73479,-0.118347,0.0533,0.305395,0.0001,-0.00054,-0.000469,0.018184,-0.123675,0.154671,0.311787,0.030277,0.043728,-0.031141,-0.000902,0.005665,-0.003593,0.03723,-0.007907,0.019414,0.247424,0.066768,0.03485,-0.072611,-0.001112,-0.002597,-0.002251,-9.4e-05,0.000771,0.000389,-0.751646
0.055588,0.025229,0.338974,0.00115,-0.004522,0.013883,-0.001675,0.679582,0.671984,0.286417,-0.126174,0.060039,0.299542,-0.041077,0.016309,-0.014927,0.085605,-0.101694,0.100204,-0.879845,0.026363,0.047097,-0.034068,-0.020531,0.008144,-0.007446,0.087619,-0.095296,0.096385,-0.803351,0.066111,0.034151,-0.073086,0.000617,-0.002159,0.007036,-0.009517,0.813884,0.747205,0.126694
0.092268,0.025001,0.345529,0.097681,0.003986,0.005242,-0.03227,0.789454,0.395598,0.266903,-0.133084,0.0747,0.284848,0.036561,0.009463,0.003977,0.362806,-0.494672,-0.30021,-1.223758,0.022894,0.054423,-0.041416,0.018224,0.005128,0.00233,-0.110745,-0.167913,0.03342,-0.808086,0.084413,0.034031,-0.069811,0.042285,0.003076,0.003263,-0.00761,0.288524,0.011482,0.173885
0.114621,0.026538,0.369007,-0.011106,0.000888,0.016286,-0.03532,0.017359,-0.020899,0.207928,-0.127287,0.0756,0.319371,-0.003088,0.01754,0.02773,-0.087969,-0.083454,0.095117,-1.223459,0.025808,0.054869,-0.024159,-0.001607,0.009054,0.014076,-0.045465,-0.102807,0.093647,-0.79388,0.095634,0.034813,-0.05807,0.000362,-0.006025,0.011704,-0.069259,0.019331,-0.007867,0.084729
0.112616,0.025982,0.372968,0.0,0.0,0.0,0.0,0.0,0.0,0.222365,-0.124495,0.077388,0.341007,-0.013732,0.01099,0.007604,-0.003388,-0.006742,-0.003508,-1.211625,0.027208,0.055766,-0.013339,-0.006939,0.005872,0.004042,-0.000267,-0.015638,0.000821,-0.788655,0.094626,0.034531,-0.056085,1e-06,-2e-06,0.0,-5e-06,1.7e-05,-1e-06,0.102527
0.112548,0.025969,0.372996,-0.0,-2e-06,-1e-06,0.0,0.0,0.0,0.223051,-0.121811,0.073911,0.341978,0.000365,-0.001986,-0.001215,-0.002442,0.016829,-0.023264,-1.203874,0.028544,0.054036,-0.012847,6.3e-05,-0.000336,-0.000204,-0.000207,-0.000206,0.000413,-0.796329,0.094592,0.034524,-0.056071,2e-06,6e-06,4e-06,-3e-06,4e-06,-3e-06,0.105303
0.112628,0.025859,0.372901,-0.000177,-0.000762,-0.000482,0.0,0.0,0.0,0.219147,-0.118868,0.071969,0.340152,8.8e-05,-0.000455,-0.000286,0.060136,-0.062294,-0.053255,-1.207181,0.030016,0.05306,-0.013764,3.9e-05,-0.000204,-0.000128,0.046742,-0.061291,-0.064031,-0.785879,0.094633,0.034472,-0.056117,-0.00014,-0.000606,-0.000383,-3e-06,2.4e-05,0.0,0.100895
0.108863,0.026981,0.373635,-0.037575,0.006352,0.00441,-0.003596,0.038678,-0.091629,0.279418,-0.116613,0.071165,0.342332,-0.000444,0.002225,0.001385,0.000859,-0.000906,-0.000739,-1.212258,0.031144,0.052659,-0.012673,0.000701,-0.004413,0.004499,-0.049419,0.011103,-0.017077,-0.763998,0.092773,0.035026,-0.055755,-0.018784,0.003194,0.002232,-0.000224,0.060539,-0.080188,0.152821
