MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.162246,0.018177,0.396787,-0.012059,-0.005546,0.012258,-0.035786,0.014012,-0.022545,0.381227,-0.198492,0.044478,0.380562,0.000574,-0.008888,0.009598,-0.036333,0.012266,-0.017348,0.48583,-0.005893,0.040945,0.007185,8e-05,0.001149,0.000592,-0.009641,0.081913,-0.148239,0.476847,0.118247,0.033858,-0.043639,0.000112,0.001484,0.000796,2.2e-05,1e-06,1.7e-05,0.324276
0.162103,0.01707,0.39798,-0.0,-2e-06,-1e-06,0.0,0.0,0.0,0.40778,-0.203785,0.044739,0.394227,-0.010104,0.002753,0.015914,-0.021785,-0.015316,-0.004824,0.427538,-0.008545,0.041066,0.014018,-0.005062,0.001371,0.007959,-0.044531,0.006882,-0.001858,0.396345,0.118171,0.033305,-0.043037,1e-06,5e-06,2e-06,-4e-06,4e-06,-6e-06,0.360363
0.162148,0.016999,0.397997,0.0,0.0,0.0,0.0,0.0,0.0,0.418639,-0.209786,0.040723,0.400272,-0.000885,-0.008291,-0.003748,0.039019,-0.041735,-0.055413,0.014258,-0.011544,0.039065,0.017044,-0.00042,-0.003934,-0.001778,0.011742,-0.022074,-0.05223,-0.128471,0.118193,0.033269,-0.043028,1e-06,-1e-06,-3e-06,3e-06,1.2e-05,4e-06,0.370814
0.162048,0.016876,0.398157,-0.012398,0.001387,0.001136,0.005396,-0.067703,0.151346,0.423142,-0.208867,0.046891,0.390252,0.027457,-0.000478,0.039562,-0.083727,-0.120254,0.256009,-1.404518,-0.011096,0.042138,0.012015,0.019553,-0.000245,0.019339,-0.089943,-0.047114,0.103389,-0.79192,0.118147,0.033206,-0.04295,8e-05,-0.004513,0.005013,-0.035712,0.011289,-0.019182,0.381101
0.159557,0.0192,0.394694,-0.013221,0.002074,-0.013347,0.033795,0.015211,-0.036664,0.398984,-0.182178,0.046357,0.353466,0.056316,0.005374,-0.075309,0.00471,0.392693,0.027969,-1.404845,0.002215,0.041885,-0.006301,0.034253,0.002102,-0.03848,-0.269996,0.148969,0.861855,-0.801881,0.116907,0.034368,-0.04467,-0.012777,-0.003389,-0.001438,0.000252,0.04221,-0.082442,0.346157
0.149443,0.023954,0.387159,-0.026995,0.011026,-0.037826,0.046946,-0.148341,-0.135873,0.446114,-0.142315,0.059174,0.320169,0.032853,0.041721,0.027673,0.017584,0.071007,-0.181589,-1.407686,0.02218,0.048264,-0.023024,0.010975,0.014372,0.017436,-0.051891,0.138996,-0.191246,-0.85544,0.111841,0.036756,-0.048443,-0.01351,0.005205,-0.01906,0.064225,-0.103404,-0.123066,0.423883
0.065391,0.045683,0.351958,-0.107948,0.044049,0.012592,-3.76988,1.077604,3.737253,0.370556,-0.144004,0.074866,0.333021,0.022805,0.007255,0.002674,0.364243,-0.756948,-0.499247,-1.407218,0.021332,0.056141,-0.016582,0.011453,0.003124,0.001006,0.21469,-0.460127,-0.255578,-0.849725,0.069848,0.047577,-0.066068,-0.046712,0.026604,0.001808,0.302352,0.457322,0.077561,0.31056
0.056743,0.046142,0.356667,-0.002721,-0.013167,0.006622,-0.032988,0.022291,-0.01367,0.469478,-0.139595,0.074799,0.350281,-0.000881,0.00761,0.018099,-0.012995,-0.062557,-0.00057,-1.40738,0.023551,0.056099,-0.007958,-0.000426,0.003579,0.008925,-0.021838,-0.047047,0.011251,-0.836825,0.065493,0.047848,-0.063694,-0.000658,-0.001527,-0.001095,-0.000804,-0.090447,0.144028,0.441192
0.055548,0.043618,0.357033,-4e-06,-1e-05,-7e-06,0.0,0.0,0.0,0.47685,-0.139102,0.072768,0.362708,0.012942,-0.011432,0.006966,0.028884,-0.131445,-0.078454,-1.406882,0.023793,0.055087,-0.001743,0.000111,-0.000921,-0.000469,0.075841,-0.154339,-0.106869,-0.845153,0.064893,0.046578,-0.063511,2e-06,3e-06,1e-06,-0.0,-4e-06,5e-06,0.455562
0.054937,0.042625,0.357817,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.483571,-0.140959,0.074966,0.363176,-0.00956,-0.014915,-0.006699,0.004936,0.061059,-0.090387,-1.405853,0.022872,0.056194,-0.001496,4.7e-05,-0.000727,-0.007079,0.169542,0.176721,-0.163546,-0.860176,0.064583,0.046083,-0.063118,1e-06,5e-06,4e-06,1e-06,8e-06,1e-06,0.464216
