MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.207008,0.018597,0.413379,-1e-06,1.4e-05,7e-06,0.0,0.0,0.0,-0.027621,-0.246268,0.038904,0.350528,-0.013491,-0.002914,-0.00138,-0.010841,0.123225,-0.195999,0.423993,-0.003552,0.041541,-0.001346,-0.006724,-0.001376,-0.000633,-0.010276,0.123826,-0.196294,0.368422,0.11815,0.032711,-0.033587,-1e-06,4e-06,2e-06,-7e-06,-1.2e-05,-1.6e-05,-0.222257
0.206734,0.017936,0.413072,-0.012205,-0.000813,3e-06,-0.000984,0.014715,-0.029553,-0.034626,-0.254038,0.038508,0.372908,0.002514,0.009992,0.005906,0.001506,-0.014416,0.024906,0.379892,-0.007434,0.041351,0.009849,0.00122,0.00488,0.002884,0.001462,-0.014414,0.024879,0.346215,0.118018,0.03238,-0.033741,3e-06,-4.5e-05,-2.1e-05,8e-06,3e-06,9e-06,-0.229606
0.205842,0.017621,0.41294,8e-06,-0.000138,-6.7e-05,0.0,0.0,0.0,-0.069538,-0.254023,0.050367,0.355039,0.004535,0.004872,-0.05769,0.126694,-0.010647,-0.000308,-1.408673,-0.007429,0.047281,0.000938,0.002554,0.007933,-0.032892,0.193591,-0.064921,-0.004632,-0.740484,0.117572,0.032223,-0.033807,7e-06,-0.000102,-4.7e-05,1.2e-05,2e-06,1.1e-05,-0.251486
0.176908,0.039944,0.378391,-0.060266,0.003257,0.003722,-0.366101,-0.942102,-0.464545,0.380919,-0.164301,0.052287,0.278318,0.137051,-0.043594,0.053377,4.983688,2.143453,-0.420907,-1.409258,0.037435,0.04822,-0.037462,0.068562,-0.02135,0.026877,4.983936,2.107154,-0.485399,-0.752241,0.103123,0.043382,-0.051084,-0.024078,0.001878,0.001833,-0.40254,-1.025132,-0.695777,0.343055
0.142791,0.033568,0.373457,-0.003492,-0.008057,-0.034514,-0.238429,-0.994536,-0.559635,0.454537,-0.125946,0.038298,0.313573,0.001189,-0.008421,0.009973,0.05011,0.11195,-0.083481,-1.403868,0.056611,0.041242,-0.019827,0.006195,0.003021,0.001815,0.296172,0.367854,-0.168577,-0.832743,0.086044,0.040208,-0.053531,-0.001755,-0.004234,-0.017356,-0.009358,-0.620077,-0.286961,0.430252
0.140306,0.034161,0.357933,-8.8e-05,-0.000597,-0.000386,0.0,-0.0,0.0,0.256191,-0.115856,0.03678,0.31847,-1e-05,5.1e-05,4.4e-05,0.0,-0.0,-0.0,-1.403259,0.061655,0.040486,-0.01737,0.006501,0.001062,8.2e-05,-0.009584,-0.001926,0.049625,-0.849562,0.0848,0.040493,-0.06131,-5.6e-05,-0.000379,-0.000244,-0.028717,0.018789,-0.022116,0.15576
0.142389,0.035401,0.364063,0.015979,0.007123,0.034363,-0.062527,-0.009342,0.080655,0.322658,-0.119291,0.039249,0.3096,-0.010487,-0.016746,-0.013183,0.010022,-0.069069,0.083451,-1.402997,0.059938,0.041718,-0.021807,-0.005242,-0.00833,-0.006547,0.026923,-0.018254,0.002847,-0.835682,0.085835,0.041103,-0.058262,0.008013,0.003834,0.017343,-0.126203,0.171505,0.089981,0.251448
0.142164,0.035915,0.365156,-0.002304,-0.007814,-0.019834,0.034072,0.0142,-0.032382,0.341182,-0.117567,0.03708,0.309223,-0.001677,0.009324,0.00839,-0.302476,-0.321925,0.271433,-1.402829,0.060802,0.040622,-0.022006,-0.006694,-0.001853,0.007779,-3.308481,-3.570804,2.648725,-0.841887,0.08573,0.041376,-0.057678,0.005071,-0.004361,-0.010337,0.032899,-0.018118,-0.005306,0.266145
0.140179,0.035218,0.360435,0.000136,0.000922,0.000583,-0.0,-0.0,0.0,0.238778,-0.117007,0.036079,0.312866,3.3e-05,-0.000184,-0.000163,0.0,-0.0,-0.0,-1.40236,0.06108,0.040131,-0.020175,1e-05,-5.3e-05,-4.8e-05,-0.000174,-0.000111,0.000148,-0.845317,0.084735,0.041017,-0.060062,0.000103,0.000692,0.000438,0.000399,0.000211,-0.000438,0.151351
0.149609,0.04184,0.364159,0.0148,0.021106,0.012148,0.317981,0.964671,0.208958,-1.916547,-0.127897,0.040175,0.314604,-0.082132,0.019012,0.025246,-2.892483,-4.824234,1.889986,0.539897,0.055698,0.042154,-0.019331,-0.0411,0.009665,0.012838,0.047245,-1.054715,0.154136,0.520609,0.089441,0.044324,-0.058201,0.007418,0.010742,0.006188,1.689478,1.472267,-1.90106,-0.752952
