MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.082812,0.036817,0.478676,0.027731,-0.000842,-0.043518,0.011793,-0.545351,0.741159,0.434269,-0.108225,-0.026847,0.402714,-0.003163,0.023629,-0.050241,0.121363,0.079825,0.092804,0.051963,0.025592,0.030429,-0.007347,-0.000854,0.007183,-0.020026,0.088267,0.129893,-0.128279,-0.075075,0.087412,0.048929,-0.02302,0.008502,0.000952,-0.020877,-0.13954,-0.428109,0.466646,0.441682
0.083559,0.040134,0.442465,-0.001509,-0.004628,-0.001718,-0.122686,-0.001351,0.06054,0.495462,-0.103093,-0.024833,0.373546,0.003397,-0.017472,-0.014359,0.009595,-0.091685,0.101698,0.308737,0.028152,0.031475,-0.021926,0.007968,-0.002881,-0.012088,0.021728,-0.000138,-0.041669,0.184884,0.08779,0.050565,-0.041149,0.004682,-0.007683,0.003636,-0.451841,0.034458,0.118549,0.501773
0.08169,0.040917,0.443998,1e-06,2e-06,1e-06,0.0,0.0,0.0,0.521657,-0.09762,-0.032464,0.392591,-0.000827,0.001821,0.018809,-0.033073,-0.018458,0.03123,0.178728,0.030893,0.027643,-0.012425,-0.007956,0.003539,0.003594,-0.00216,0.008496,-0.000634,0.061763,0.086857,0.050961,-0.04038,-1e-06,-1.2e-05,-4e-06,4.7e-05,-6e-06,-5.2e-05,0.519082
0.080835,0.041472,0.444061,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.522652,-0.091213,-0.032867,0.400154,-0.013687,-0.005709,0.014514,-0.036219,0.006478,-0.025191,0.079773,0.0341,0.027445,-0.00864,-0.000727,0.003181,0.002423,0.000982,-0.009586,0.027147,0.00853,0.086429,0.051237,-0.040349,0.000375,0.004604,-0.005148,0.034858,-0.017255,0.0161,0.519898
0.08042,0.039141,0.438977,0.000252,0.000749,0.000291,0.0,2e-06,1e-06,0.475948,-0.088693,-0.043198,0.391303,0.019432,-0.019911,-0.018709,-2.41856,0.108495,-4.980908,-1.407061,0.035348,0.022282,-0.013055,0.00254,-0.011037,-0.009315,-0.220738,0.380849,0.279002,-0.683659,0.086221,0.050071,-0.042892,-0.005441,0.00199,0.001127,-0.000989,0.014007,-0.029911,0.457521
0.079344,0.038426,0.440393,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.484039,-0.088147,-0.037632,0.374232,-0.003263,0.019364,-0.019515,0.033907,0.058285,0.072054,-1.404529,0.03563,0.025049,-0.021592,-0.000844,0.005011,-0.004728,0.027018,0.027775,0.047433,-0.688068,0.085683,0.049715,-0.042183,-0.005209,0.006163,-0.004169,0.033979,-0.002639,-0.013619,0.469115
0.086773,0.025768,0.432543,0.018382,-0.021722,-0.010746,0.019339,0.088653,0.072315,0.34307,-0.073291,-0.007384,0.360158,0.025757,0.008461,0.020932,0.225315,-0.343284,0.152064,-1.408796,0.043046,0.040185,-0.028636,0.014065,-0.001548,0.014438,0.176453,-0.3294,0.097105,-0.707173,0.08939,0.043392,-0.046104,0.009392,-0.00667,-0.010683,0.053998,0.104085,0.06962,0.35824
0.090929,0.020536,0.410157,0.000239,0.000801,0.000426,-0.0,-0.0,-0.0,-0.303229,-0.065124,-0.013488,0.392415,0.015175,-0.005892,0.010853,-0.032482,-0.01569,0.005298,-1.40942,0.047135,0.037132,-0.01251,0.008497,-0.007657,0.010395,-0.067912,-0.00839,-0.018894,-0.73134,0.091476,0.040769,-0.057301,0.000149,0.000498,0.000262,1e-06,-7e-06,1.4e-05,-0.452987
0.0909,0.020988,0.410008,0.000127,0.000426,0.000226,0.0,0.0,0.0,-0.071258,-0.063337,-0.012764,0.406226,0.015107,-0.006306,0.010649,-0.037584,0.052052,-0.181669,-1.408906,0.048026,0.037501,-0.0056,0.000199,-0.000629,-0.00044,-0.000992,-0.001151,-0.000704,-0.740321,0.091461,0.040995,-0.057376,0.006164,-0.001072,-0.000728,0.000995,-0.014708,0.029544,-0.26161
0.090725,0.021285,0.40969,2.6e-05,8.7e-05,4.6e-05,0.360919,-0.374569,-0.006098,-0.203034,-0.061284,-0.015074,0.405275,0.001835,-0.009304,0.010109,-0.416084,0.51301,-0.037604,-1.407836,0.04906,0.036341,-0.006079,3e-05,-0.0001,-7.3e-05,0.008782,0.051235,-0.194898,-0.751098,0.091374,0.041144,-0.057535,1.2e-05,4.4e-05,2.4e-05,1.337269,-0.385737,-0.875018,-0.356319
0.093119,0.021026,0.41165,0.000972,0.003343,0.001746,-0.022433,-0.187623,0.136958,-0.211301,-0.070039,-0.016272,0.412714,-0.001076,0.00018,0.016602,-0.310505,0.873025,0.249313,-1.406598,0.044685,0.035732,-0.002367,0.005127,0.006444,0.003647,-0.011536,0.484857,-0.225285,-0.71599,0.092571,0.041014,-0.056554,0.000552,0.001902,0.000995,-0.025868,-0.105017,-0.01245,-0.362034
0.093705,0.021687,0.411838,-1e-05,-3.6e-05,-1.9e-05,0.0,0.0,0.0,-0.20527,-0.070188,-0.012967,0.417773,-0.000752,0.005933,-0.012373,5.522579,-0.469397,0.479222,-1.40649,0.044608,0.03739,0.000179,0.000534,-0.001771,-0.001146,0.004713,0.010359,-0.031043,-0.721705,0.092864,0.041345,-0.056461,-2e-06,-9e-06,-5e-06,2e-06,-1e-06,-5e-06,-0.362034
