MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.173628,0.003991,0.395385,-0.012882,0.000234,0.000545,-0.000984,0.014715,-0.029553,0.134143,-0.205636,-0.034783,0.340831,-0.014722,0.000612,0.001418,-1.317585,-1.849763,1.530292,-0.137004,0.024654,0.027094,-0.010716,7e-06,9e-05,8.8e-05,0.000604,0.000695,-0.000442,-0.340749,0.088313,0.039996,-0.026931,-6e-06,8e-06,6e-06,-4.6e-05,-2.9e-05,4e-05,-0.042638
0.173499,0.004016,0.384473,-0.013012,0.000906,0.000973,-0.000984,0.014715,-0.029553,0.072205,-0.207505,-0.035373,0.333587,0.031004,-0.004848,0.013176,-0.042508,0.060579,-0.109838,0.411102,0.023713,0.026794,-0.014343,0.015517,-0.002272,0.00672,-0.047046,0.055513,-0.10468,0.369239,0.088244,0.040009,-0.032387,-0.006507,0.000453,0.000492,-0.001007,0.014723,-0.02953,-0.126896
0.166241,0.006477,0.379897,-0.027364,0.005787,-0.027104,-0.095077,-0.697646,-0.391716,0.070017,-0.210429,-0.021098,0.327262,-0.044671,0.03456,-0.021413,0.029569,-0.238353,0.999904,-1.403421,0.02228,0.033919,-0.017477,-0.022353,0.017069,-0.01089,0.224045,0.052639,1.387707,-0.842867,0.084624,0.041244,-0.034661,-0.013769,0.007313,-0.018603,-0.057093,-0.82867,-0.246424,-0.145348
0.12788,-0.007493,0.341312,0.008106,-0.024417,-0.039557,-0.021705,-0.418663,-0.311253,0.367371,-0.204194,-0.014529,0.313676,0.0155,0.007996,0.007502,-0.383455,0.521022,-0.046447,-1.405612,0.025353,0.037214,-0.0243,0.007753,0.004101,0.003849,-0.504623,0.648488,0.028551,-0.907857,0.065422,0.034248,-0.053959,0.004113,-0.012068,-0.019657,-0.08167,-0.683809,-0.521113,0.25798
0.126973,-0.004636,0.328278,-0.000627,0.005367,-0.013631,0.016311,-0.26194,0.059515,0.44873,-0.187329,-0.014291,0.315416,0.014514,-8.6e-05,-0.001167,0.002045,-0.015196,0.029232,-1.403123,0.033797,0.037348,-0.023415,0.007242,-0.000307,-0.000864,0.003003,-0.018235,0.035376,-0.968437,0.064981,0.03568,-0.060473,-0.000352,0.002434,-0.007048,-0.001966,-0.358533,-0.070419,0.422087
0.126141,-0.006469,0.325795,-0.000782,-0.003979,-0.003831,-0.000526,0.014937,-0.024641,0.129231,-0.18308,-0.014306,0.316013,-0.014521,-0.00031,0.000824,-0.002045,0.015205,-0.029245,-1.401901,0.035932,0.037333,-0.023126,-0.000348,0.005554,-0.004091,0.036464,-0.011576,0.017633,-0.961743,0.064565,0.034771,-0.061721,-0.000383,-0.001964,-0.001891,1.7e-05,0.001084,-0.001754,-0.038229
0.126527,-0.005213,0.31894,-0.015329,-0.003783,-0.004069,-0.000984,0.014715,-0.029553,0.43747,-0.186354,-0.012952,0.316506,0.014544,0.001457,0.000389,0.002045,-0.015205,0.029245,-1.402267,0.034284,0.038008,-0.02288,0.007283,0.000923,0.000387,0.001993,-0.015319,0.029234,-0.925492,0.064765,0.035406,-0.065142,-0.000431,0.002135,-0.007497,0.034634,-0.000773,-0.007828,0.402656
0.126067,-0.006592,0.317653,-0.000423,-0.002128,-0.002151,-0.000372,-0.012209,-0.007411,0.157535,-0.185105,-0.013192,0.315695,-2.4e-05,-0.000454,-0.000462,0.0,0.0,0.0,-1.401472,0.034914,0.037893,-0.023281,-1.9e-05,-0.000367,-0.000374,-7e-06,7e-06,-8e-06,-0.927615,0.064527,0.034704,-0.065798,-0.000246,-0.001242,-0.001255,0.006581,0.017662,0.01125,0.000634
0.128506,-0.002649,0.318005,0.030485,0.016488,-0.002313,0.179664,1.498041,-0.797494,-0.600899,-0.189306,-0.010612,0.310069,-0.031387,0.004545,-0.032597,-0.301036,-0.253121,-0.268527,0.475402,0.032825,0.039185,-0.026079,-0.015643,0.002709,-0.015823,-1.217211,-0.908038,-0.6203,0.405326,0.065746,0.036673,-0.065624,0.01527,0.008361,-0.001054,0.234372,1.597541,-0.732842,-0.68535
0.130342,-0.015331,0.306435,0.02942,0.014623,-0.024067,0.843407,-2.279231,1.236925,-1.913008,-0.167114,-0.01415,0.265195,-0.056112,-0.014509,0.104939,-0.133834,-0.406767,0.387669,-0.190721,0.043954,0.037417,-0.048612,-0.028609,-0.001349,0.048969,-0.441381,-0.590906,0.160986,-0.503713,0.066665,0.030337,-0.071403,0.0147,0.00729,-0.012069,0.889392,-2.228534,1.235785,-1.084432
0.131902,-0.011885,0.28624,-0.003022,-0.006705,-0.030233,-0.053955,-0.330994,0.214286,-1.909936,-0.194893,-0.008272,0.278092,-0.042262,0.010029,0.037716,0.152996,-0.057781,-0.341544,0.161483,0.030035,0.040334,-0.042116,-0.021379,0.011242,0.015701,0.347867,-0.29663,-0.248028,-0.023312,0.067447,0.03207,-0.081481,-0.00138,0.001833,-0.019633,-0.029865,-0.230518,0.03184,-1.030056
0.12964,-0.013708,0.278756,2.2e-05,0.000108,0.000142,-0.0,-0.0,-0.0,-1.909985,-0.195356,-0.004371,0.285901,0.000373,0.004188,0.004935,-0.0,0.0,0.0,0.394919,0.029789,0.042303,-0.038179,0.000182,0.002079,0.002448,-0.000133,-9.8e-05,-0.000117,0.343112,0.066314,0.031146,-0.085246,2.1e-05,9.9e-05,0.000131,4e-06,4e-06,-1.3e-05,-1.032016
0.126859,-0.015446,0.27842,-0.015376,0.000555,-3e-06,0.001287,-0.099006,0.133826,-1.188165,-0.193196,-0.00291,0.28737,0.000145,0.001792,0.002079,0.0,-0.0,-0.0,-1.403098,0.030868,0.043029,-0.037449,8e-05,0.000993,0.001155,-3.5e-05,0.000134,0.000104,-0.872913,0.064923,0.030278,-0.085414,-0.007687,0.000281,1e-05,-0.000183,-0.093915,0.12782,-0.885217
0.14627,-0.032252,0.310741,-0.025835,-0.05524,0.125755,0.067997,2.59324,-2.791691,-0.124825,-0.179881,-0.011141,0.293089,0.06183,-0.020341,0.034155,-0.16277,-0.291339,-0.406319,-1.405295,0.037503,0.038921,-0.034602,0.031263,-0.01615,0.020599,-0.29735,-1.227881,-1.082434,-0.853971,0.074642,0.021895,-0.0693,-0.013057,-0.028126,0.062409,4.148001,0.331936,-3.494153,-0.348808
0.14704,-0.050978,0.338023,-5.2e-05,-0.000389,-0.000421,-4e-05,-7.5e-05,-3.4e-05,-0.041908,-0.176348,-0.014243,0.315163,0.000306,0.011928,0.012243,0.001786,-0.015023,0.024526,-1.404399,0.039292,0.037356,-0.023559,0.007424,0.006644,0.0062,-0.00704,0.06033,-0.088279,-0.86883,0.075013,0.012504,-0.055621,-0.007669,0.000506,0.000527,0.00101,0.018173,-0.028653,-0.267162
0.146987,-0.048859,0.336571,-0.015242,0.001467,0.001533,-0.001022,0.014746,-0.029577,-0.021176,-0.17216,-0.015912,0.323245,5e-05,0.004152,0.004097,0.001798,-0.014571,0.024796,-1.403994,0.041386,0.036523,-0.019516,2.6e-05,0.002074,0.002059,0.002767,-0.010769,0.023533,-0.874709,0.074993,0.013573,-0.056336,4.1e-05,0.000311,0.000337,0.004028,-0.003406,0.002703,-0.250507
0.147689,-0.048248,0.337184,9.3e-05,0.000706,0.000756,0.0,0.0,0.0,0.105953,-0.170765,-0.017961,0.330479,0.000912,-0.004886,0.014223,-0.011053,0.062175,-0.186593,-1.403289,0.042083,0.035505,-0.0159,1.4e-05,0.002789,0.002661,0.019166,-0.039963,-0.003672,-0.899365,0.075338,0.013877,-0.056032,5.8e-05,0.000438,0.00047,-3e-06,4e-06,1.7e-05,-0.086236
0.147168,-0.048225,0.337511,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.18363,-0.1662,-0.020423,0.328643,-0.014504,-0.000869,0.000492,0.419528,-0.340611,-0.258216,-1.402822,0.044372,0.034275,-0.016811,1.3e-05,-9.5e-05,-8e-05,-0.023198,0.103716,-0.166053,-0.928431,0.075078,0.013888,-0.055868,-2e-06,4e-06,1e-05,0.006001,-0.086312,0.179261,0.034272
0.148738,-0.048068,0.335336,1.6e-05,0.000124,0.000134,-1e-06,-2e-06,-1e-06,0.122671,-0.168684,-0.025368,0.326229,1.4e-05,0.003155,0.003192,-0.0,0.0,0.0,-1.406732,0.043124,0.031799,-0.01802,-0.007334,0.001564,0.002259,-0.00015,0.001277,-0.003622,-0.903448,0.075864,0.013971,-0.056951,-5e-06,-3.3e-05,-3.4e-05,0.00029,0.000594,0.000307,-0.066968
0.148577,-0.049077,0.334823,1.1e-05,8.8e-05,9.6e-05,0.0,0.0,0.0,0.115408,-0.171541,-0.02177,0.325425,-0.030918,0.019205,-0.016951,-0.319849,-0.677332,0.237648,-1.407083,0.041707,0.033601,-0.018406,-0.015455,0.009216,-0.00886,-1.249224,-2.234022,0.840754,-0.929574,0.075782,0.013462,-0.057212,8e-06,6.5e-05,6.6e-05,-1.1e-05,-1.7e-05,0.0,-0.064682
0.148287,-0.049587,0.334389,0.000229,0.001752,0.001918,0.0,0.0,0.0,0.106011,-0.17425,-0.020917,0.326485,3.9e-05,0.001996,0.001975,3.7e-05,0.000193,-1.9e-05,-1.407257,0.040341,0.034025,-0.017892,2.3e-05,0.001108,0.001094,-0.000537,-0.007012,0.00032,-0.936433,0.075637,0.013207,-0.05743,0.000117,0.00092,0.001007,-2e-06,-1e-05,-4e-06,-0.077909
0.147345,-0.048228,0.33306,0.000978,0.017374,-0.001472,-0.378949,-0.279981,-0.49437,0.173029,-0.171589,-0.019933,0.330929,0.0,2.7e-05,2.6e-05,0.000953,0.001643,-0.000672,-1.406712,0.041672,0.034524,-0.015663,0.007649,-0.005255,0.003801,-0.036085,-0.007831,0.009727,-0.928268,0.075165,0.013866,-0.0581,0.0005,0.008711,-0.00072,-1.710814,1.542999,-1.40715,-0.00802
