MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.172028,-0.013292,0.37063,-8e-06,-0.000161,-0.00012,0.0,0.0,0.0,0.232929,-0.2031,-0.044064,0.319824,-2.8e-05,-0.000236,-0.00027,0.0,0.0,0.0,-0.359577,0.025314,0.019865,-0.009561,-1.6e-05,-0.000138,-0.000158,-5e-06,7e-06,-4e-06,-0.557272,0.084408,0.035731,-0.032432,-4e-06,-7.1e-05,-5.4e-05,-0.0,-6e-06,1e-06,0.094036
0.172053,-0.01336,0.370528,-0.0,-6e-06,-4e-06,0.0,0.0,0.0,0.322186,-0.201375,-0.045472,0.317817,-0.000636,-0.005627,-0.006558,-0.020052,-0.033388,0.029694,0.499976,0.026176,0.019159,-0.010567,-0.000279,-0.002523,-0.002936,-0.064459,-0.165683,0.194288,0.499218,0.08442,0.035697,-0.032483,-2e-06,9e-06,8e-06,1e-05,-1.4e-05,-1.8e-05,0.225159
0.17186,-0.013322,0.370575,0.0,0.0,0.0,0.0,0.0,0.0,0.313312,-0.196832,-0.028589,0.303055,-0.035201,0.065272,-0.070209,-0.011151,0.356689,0.030748,-1.398355,0.02846,0.027579,-0.017918,-0.009724,0.027133,-0.031402,-0.130148,0.426166,0.121785,-0.850705,0.084323,0.035717,-0.032459,-0.006875,0.000123,0.000288,-0.000964,0.014739,-0.02954,0.21928
0.135867,-0.018466,0.315537,-0.068575,-0.052279,-0.056666,0.091354,-0.41871,0.317695,0.472914,-0.186026,-0.027038,0.300365,0.045693,0.005464,0.002898,-0.238596,1.576296,0.311084,-1.40297,0.033833,0.028373,-0.019296,0.015312,0.003236,0.002618,0.671529,2.333777,0.47737,-0.977745,0.066324,0.033132,-0.059993,-0.034181,-0.025772,-0.027898,0.113826,-0.346521,0.374439,0.442172
0.131376,-0.027299,0.300183,-0.015659,0.008219,-0.012226,0.492957,-0.128347,-0.277093,0.476748,-0.188371,-0.022562,0.303382,0.000176,0.002585,0.002946,0.001728,-0.015182,0.024432,-1.402782,0.032678,0.030615,-0.017783,8.7e-05,0.001279,0.00146,0.001964,-0.01501,0.024469,-0.963375,0.064085,0.028715,-0.067662,-0.007722,0.004643,-0.00546,1.626284,-0.079612,-0.561563,0.45997
0.130076,-0.022809,0.309102,0.014808,-0.002152,-0.002025,0.000943,-0.015111,0.029314,-1.917865,-0.188254,-0.022295,0.303647,-0.045311,-0.007643,-0.005326,-2.626487,-5.184479,-1.015419,0.417405,0.032753,0.030759,-0.017642,-0.015174,-0.003906,-0.003253,0.001849,-0.292683,-0.00492,0.32809,0.063431,0.030972,-0.063196,0.00741,-0.00106,-0.001004,0.002417,-0.009433,0.035819,-0.910201
0.13211,-0.021909,0.306424,-1.1e-05,-6.2e-05,-7.1e-05,-0.0,-0.0,-0.0,-1.689261,-0.188421,-0.030797,0.300743,-0.001311,0.02183,-0.016882,-0.363518,0.308602,0.267556,0.355582,0.032654,0.026495,-0.01909,-0.008276,0.010665,-0.008163,0.085116,-0.010859,-0.003554,0.295758,0.064448,0.031423,-0.064535,-8e-06,-3.5e-05,-3.8e-05,-2.8e-05,-2e-06,1.1e-05,-0.919345
0.131117,-0.021845,0.305184,0.0,1e-06,1e-06,-0.0,-0.0,-0.0,-1.661645,-0.187505,-0.023296,0.303763,-0.000293,-0.004469,-0.005097,-0.225589,0.172166,0.122735,0.018783,0.033111,0.030252,-0.017588,-0.000151,-0.002364,-0.002696,-0.317148,0.216298,0.154463,-0.090751,0.063952,0.031455,-0.065154,-0.0,0.0,4e-06,-3.2e-05,-3e-06,5e-05,-0.91314
0.160655,-0.036215,0.302135,-0.014704,-0.073035,0.063649,-0.263718,0.696733,0.420942,-0.526518,-0.184273,-0.024393,0.288334,0.076096,-0.022761,-0.01279,0.607017,-0.554192,-0.075979,-1.404252,0.034698,0.029704,-0.025306,0.038436,-0.016702,-0.00206,0.053849,-0.235711,-0.12141,-0.87128,0.078734,0.024323,-0.066721,-0.00739,-0.03653,0.031819,-0.255461,0.16671,0.111576,-0.620197
0.157732,-0.046319,0.310719,6.2e-05,0.00058,0.000709,0.0,0.0,0.0,-0.342785,-0.175471,-0.029589,0.299695,0.0,7e-06,9e-06,0.013036,-0.008305,-0.00602,-1.404335,0.039129,0.027106,-0.019622,0.0004,-0.005644,0.003988,-0.059591,0.108011,-0.196238,-0.89414,0.07726,0.019216,-0.062388,3.6e-05,0.00033,0.000404,-1e-06,5e-06,5e-06,-0.501974
0.16117,-0.0477,0.316902,0.000646,-0.016466,0.023378,-0.066256,0.196546,0.053076,-0.398508,-0.169038,-0.034241,0.302703,0.01524,-0.004373,-0.006803,0.490656,0.988133,1.180541,-1.403354,0.042338,0.02478,-0.018116,0.007452,-0.001944,-0.0032,1.13236,3.984226,3.580411,-0.934473,0.07898,0.01854,-0.059296,0.000331,-0.007986,0.011978,-0.064054,0.227037,0.101626,-0.538225
0.161352,-0.049925,0.320388,7e-05,0.000745,0.000876,0.0,0.0,0.0,-0.40251,-0.169084,-0.033845,0.303329,-3.1e-05,-0.002506,-0.003,-0.0,0.0,0.0,-1.402327,0.042322,0.024973,-0.01781,-1.2e-05,-0.001235,-0.001471,5e-05,-4.9e-05,-0.000817,-0.952762,0.07907,0.017413,-0.057554,4.4e-05,0.000487,0.000571,-2.3e-05,4e-06,-1.2e-05,-0.54198
0.161071,-0.050231,0.320832,0.0,0.0,0.0,0.0,0.0,0.0,-0.409823,-0.175163,-0.032881,0.299309,0.015335,0.001133,-5e-05,-0.058991,0.032486,0.062395,-1.402439,0.039277,0.025457,-0.019817,0.007671,0.000684,0.000109,-0.075323,0.043417,0.076657,-0.954395,0.078929,0.017262,-0.05733,1e-06,-1e-06,1e-06,-4e-06,1.7e-05,-6e-06,-0.545573
0.160467,-0.045296,0.319821,-0.014562,0.021356,0.003689,0.018661,0.028768,-0.188761,0.469495,-0.155383,-0.039431,0.303015,-1.6e-05,0.00058,0.000716,-0.0,0.0,0.0,-1.401539,0.049178,0.022181,-0.017968,-1.4e-05,0.000471,0.000582,0.011792,-0.098792,0.172007,-0.988032,0.078632,0.019717,-0.057842,0.000514,0.005412,0.006252,-0.004244,-0.065523,0.028761,0.442009
0.169647,-0.027197,0.314742,0.014973,0.012989,-0.00655,0.098261,0.247843,0.182728,-1.916807,-0.163211,-0.040626,0.300035,-0.015488,-0.018149,-0.021126,-0.970369,-3.822826,1.493412,0.47886,0.045264,0.021596,-0.019441,-0.015511,-0.009385,-0.00987,-3.221453,-4.476672,-3.191208,0.444026,0.083211,0.028773,-0.060373,0.007593,0.001272,0.001209,0.103686,0.537356,0.027345,-0.97764
0.176759,-0.02378,0.2922,-0.000925,0.013739,-0.026781,-0.331004,-0.304375,-0.163135,-1.05803,-0.144437,-0.041044,0.2942,0.06532,-0.004741,0.075946,0.25988,0.344346,-0.236283,-1.400378,0.054622,0.02138,-0.022396,0.039825,0.004218,0.034093,0.882467,1.773222,-1.246687,-1.038326,0.086773,0.030482,-0.071637,-0.000325,0.00102,-0.009657,-0.490068,-0.383818,-0.212063,-1.005399
