MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.167457,-0.0177,0.354527,0.012167,0.008514,-0.04655,0.105552,-0.01001,0.009809,0.520097,-0.206663,-0.056004,0.30131,-0.036035,0.013451,-0.049828,-0.42609,0.191818,-0.295125,0.307786,0.023356,0.026122,-0.006554,-0.017973,0.006793,-0.024786,-0.992224,-0.24957,-1.064466,0.3405,0.086202,0.0417,-0.02811,0.006096,0.004102,-0.023403,0.105544,-0.010029,0.009864,0.522838
0.172798,-0.012663,0.329461,-1.1e-05,-0.000214,-0.000201,0.005526,-0.100053,0.171805,0.512996,-0.193444,-0.055255,0.283875,0.048203,-0.003902,-0.009217,0.004668,-0.043614,0.088989,0.370358,0.029934,0.026497,-0.015293,0.02408,-0.002233,-0.005052,0.015785,-0.042763,0.057768,0.319435,0.088872,0.044212,-0.040648,-5e-06,-0.000128,-0.000121,0.005509,-0.100028,0.171868,0.511734
0.173028,-0.012201,0.330211,3e-06,5.9e-05,5.5e-05,-0.0,-0.0,-0.0,0.512212,-0.190436,-0.056134,0.291492,0.002404,-0.009522,0.034388,0.093484,-0.235636,-0.125144,0.3451,0.031457,0.026061,-0.011499,0.001168,-0.004882,0.017025,0.139966,-0.297736,-0.160116,0.280735,0.088987,0.044443,-0.040273,2e-06,2.3e-05,2.1e-05,-0.000176,5.2e-05,0.000222,0.507488
0.173889,-0.011711,0.330909,2.2e-05,0.000446,0.000414,0.0,0.0,0.0,0.512049,-0.189667,-0.057429,0.293248,0.015496,-0.006937,-0.011029,-1.642729,-1.668657,1.505514,-0.346545,0.031836,0.025417,-0.010597,-0.00032,-0.003653,-0.005168,-0.208376,0.221242,0.320255,-0.470075,0.089418,0.044688,-0.039925,1.2e-05,0.000271,0.000252,-5.6e-05,7e-06,7e-05,0.506508
0.174414,-0.011465,0.330815,-6.4e-05,-0.001369,-0.00127,-0.009476,-0.018201,-0.010268,0.514139,-0.192819,-0.03403,0.249067,-0.006494,0.041956,-0.091694,0.343571,2.107114,1.767545,-1.403814,0.030274,0.037085,-0.03262,-0.003171,0.021158,-0.045496,0.247373,2.008921,1.735409,-0.94574,0.089681,0.044814,-0.039969,-3.6e-05,-0.000806,-0.00075,0.00713,0.019421,-0.027351,0.508141
0.168519,-0.033379,0.308909,-0.016049,-0.010829,-0.012252,-0.002564,0.043622,-0.079394,0.48108,-0.18327,-0.047228,0.24683,0.067342,-0.024199,0.00647,0.349697,-0.258387,-0.130416,-1.402431,0.035039,0.030506,-0.033825,0.0337,-0.011886,0.00359,0.410816,-0.274917,-0.152829,-0.901652,0.086738,0.033851,-0.050928,-0.007972,-0.004829,-0.005443,0.003607,-0.070553,0.117603,0.465033
0.164892,-0.033504,0.312404,0.000232,0.002841,0.003236,0.0,0.0,0.0,0.464957,-0.17477,-0.053346,0.274484,0.00024,0.005173,0.008038,0.028093,-0.030367,0.013478,-1.404174,0.039291,0.027458,-0.01998,-0.007641,-0.003579,0.008033,-0.063094,0.108598,-0.1945,-0.927451,0.084919,0.033789,-0.04918,0.000137,0.001699,0.001934,0.00081,-0.014293,0.024989,0.438416
0.16567,-0.033254,0.313003,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.472412,-0.173961,-0.054848,0.287024,0.000154,0.003815,0.005525,0.043146,-0.039836,0.007498,-1.403782,0.039694,0.026702,-0.013718,6.1e-05,0.001622,0.002351,0.021126,-0.022437,-0.01521,-0.945414,0.085308,0.033916,-0.048878,0.0,-0.0,1e-06,2.8e-05,1.2e-05,-3.3e-05,0.44903
0.16568,-0.033266,0.31299,0.0,0.0,0.0,0.0,0.0,0.0,0.480464,-0.171538,-0.054745,0.292611,0.000189,0.006068,0.008498,0.001796,-0.013955,0.025149,-1.403468,0.040906,0.02675,-0.01093,9.1e-05,0.002994,0.0042,0.001438,-0.012752,0.025952,-0.941985,0.085314,0.03391,-0.048884,3e-06,-3e-06,-5e-06,2.1e-05,1e-06,-1.7e-05,0.45997
0.16575,-0.033184,0.313222,0.0,0.0,0.0,0.0,0.0,0.0,0.484788,-0.171252,-0.055272,0.291587,-7.6e-05,-0.002471,-0.00349,-0.001793,0.013961,-0.025145,-1.40321,0.041049,0.026492,-0.011434,-2.5e-05,-0.000857,-0.001207,-8.7e-05,0.00096,0.000713,-0.964682,0.085348,0.033951,-0.048768,5e-06,-2e-06,-8e-06,2.4e-05,2e-06,-2.5e-05,0.466666
0.1659,-0.033052,0.313432,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.489145,-0.168423,-0.059584,0.297972,0.017048,-0.008347,0.010226,-0.034238,-0.005965,0.010311,-1.403018,0.042457,0.024339,-0.008253,0.008526,-0.003856,0.005547,-0.038196,-0.016637,0.037289,-0.977908,0.085424,0.034017,-0.048663,-2e-06,3e-06,5e-06,-3.9e-05,5e-06,4e-05,0.472217
0.165904,-0.033134,0.313307,6.6e-05,0.000841,0.000951,0.0,0.0,0.0,0.494128,-0.163766,-0.051827,0.299048,-0.016816,0.011925,-0.005284,-0.396998,0.433389,0.289674,-1.402892,0.044798,0.028214,-0.007696,-0.008877,0.011381,-0.006891,-0.316958,0.826059,0.385582,-0.950639,0.085425,0.033974,-0.048728,4.4e-05,0.000569,0.000642,-4.7e-05,-1.3e-05,4.6e-05,0.480708
0.165951,-0.033327,0.313698,7e-06,8.7e-05,9.8e-05,0.0,0.0,0.0,0.495422,-0.172851,-0.047717,0.303243,-0.014873,-0.012331,0.008175,-0.043833,0.166042,-0.280744,-1.403314,0.040261,0.030273,-0.005612,-0.007446,-0.006387,0.003817,0.001751,0.689297,-0.933872,-0.954721,0.085449,0.03388,-0.04853,4e-06,4.6e-05,5.1e-05,-3.6e-05,1.3e-05,5.2e-05,0.481035
