MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.095645,0.04814,0.436651,0.010978,-0.002551,-0.001639,0.001348,-0.013953,0.029833,-1.241613,-0.138148,0.012047,0.363984,-4.5e-05,0.000435,0.000302,0.0,0.0,0.0,-1.392083,0.024483,0.027776,0.001594,-3.1e-05,0.000298,0.000207,-8e-06,-9e-06,-6e-06,-0.884833,0.085011,0.04691,-0.021261,0.005482,-0.001288,-0.000824,-0.003545,-0.023552,0.027044,-0.922121
0.087017,0.031824,0.389055,-0.028978,-0.030604,0.027937,-0.105353,0.084513,-0.106257,0.296249,-0.131311,0.010413,0.333112,-0.014125,0.002363,-0.014015,0.091129,-0.216896,-0.186198,0.356726,0.027906,0.026965,-0.013832,-0.000295,0.002078,-0.006989,0.103553,-0.227399,-0.167725,0.296575,0.080703,0.038748,-0.045079,-0.007918,-0.011498,0.008549,-0.070044,0.064609,-0.087004,0.207687
0.083846,0.031989,0.390615,0.000203,0.000623,0.000358,0.001599,0.007607,0.003806,0.298655,-0.128403,0.009687,0.339016,0.000382,-0.00288,-0.002374,-0.002563,0.016623,-0.023517,0.170467,0.02935,0.026599,-0.010887,0.006876,-0.000151,-0.000876,0.006953,-0.028494,0.022122,0.062089,0.079116,0.038833,-0.04428,0.000145,0.000449,0.000257,-0.00215,-0.015664,-0.008124,0.213892
0.072973,0.018584,0.363788,-0.021247,-0.01975,-0.01514,0.111263,0.379326,0.558248,0.367417,-0.131645,0.026074,0.307451,0.025297,0.016631,0.030332,1.30965,0.39696,2.200644,-0.522257,0.027727,0.03478,-0.026687,0.012673,0.008472,0.015245,4.586643,1.518287,6.687466,-0.641367,0.07368,0.032132,-0.057692,-0.010698,-0.010102,-0.007733,0.010289,-0.072701,0.055478,0.267451
0.051249,0.004775,0.365884,-0.013142,0.004168,0.002633,-0.005669,0.106627,-0.205875,0.518458,-0.115292,0.029405,0.315497,0.013556,0.000551,-0.001266,0.00197,-0.015104,0.029324,-1.144695,0.035906,0.036458,-0.022646,0.013448,0.001146,-0.000747,0.005913,-0.034978,0.056366,-0.787185,0.062818,0.025226,-0.056646,-0.000598,-0.004966,0.004713,-0.034307,0.020661,-0.014566,0.514183
0.059213,0.004707,0.366264,0.011551,-0.007857,-0.005699,0.000295,-0.001396,0.004005,-1.616914,-0.112478,0.025989,0.311856,0.013081,0.005799,-0.014596,0.052599,-0.12001,0.18756,0.352682,0.037315,0.034735,-0.024474,0.000723,-0.00374,-0.003474,0.017653,-0.115778,0.160396,0.309964,0.066794,0.025205,-0.056445,-0.00081,-0.001998,-0.001625,-0.005903,0.091629,-0.175558,-0.710496
0.058522,-0.001658,0.365212,0.013492,-0.003608,-0.002247,0.000984,-0.014714,0.029554,-1.64613,-0.105998,0.030736,0.314999,0.01249,0.005892,0.003431,-0.01491,0.098728,-0.132868,0.159416,0.040554,0.037118,-0.0229,-0.000433,0.002016,0.001815,0.002498,-0.016512,0.023548,0.045434,0.066444,0.022012,-0.05698,4e-06,1e-05,9e-06,-0.000507,-0.000217,-0.000469,-0.763729
0.076815,0.011879,0.36005,0.054761,0.078418,-0.039786,0.046143,0.288512,-0.608959,0.233001,-0.107075,0.037576,0.311609,-0.002884,0.017953,-0.019114,-0.669212,-0.569593,1.329065,-1.402865,0.040019,0.040538,-0.024583,-0.001293,0.008355,-0.010104,-1.474061,-2.028142,2.296484,-0.787022,0.075575,0.028751,-0.059545,0.033285,0.031968,-0.016839,-0.376728,0.471294,-0.867637,0.078524
0.075737,-0.004065,0.373164,-0.013326,-0.003973,0.013729,-0.035542,0.032758,-0.045426,-0.172481,-0.09785,0.032804,0.331405,0.000417,-0.004399,0.013343,-0.033841,-0.010217,0.003287,-1.406015,0.044633,0.038154,-0.014702,0.005651,0.004665,0.002945,0.004392,-0.030861,0.053561,-0.810862,0.075063,0.020812,-0.053007,-0.006099,0.003374,0.002434,0.005313,-0.07268,0.148976,-0.331989
0.075567,-0.004197,0.373173,6.8e-05,0.000194,0.000152,0.0,0.0,0.0,-0.148868,-0.09459,0.029817,0.3433,0.013706,-0.000802,-0.002207,0.42689,-0.327783,-0.235226,-1.40557,0.046256,0.036668,-0.008742,0.00779,-0.005562,0.003205,0.438145,-0.381332,-0.273437,-0.825885,0.074972,0.020742,-0.053,4.1e-05,0.000119,9.1e-05,1.6e-05,-1.2e-05,-1.7e-05,-0.314027
0.085952,-0.001363,0.373673,-0.000796,-0.010027,0.009405,-0.034728,0.017447,-0.016164,-0.1658,-0.09312,0.024673,0.346894,-0.013265,-0.001398,0.000532,-0.388746,0.313931,0.181129,-1.406098,0.047002,0.03409,-0.006951,-0.001234,0.006328,-0.003451,-0.375056,0.326388,0.268147,-0.830294,0.080165,0.022166,-0.052757,-0.000389,-0.004971,0.004738,-0.03475,0.017435,-0.016167,-0.320558
0.085068,-0.002851,0.375795,9.2e-05,0.000291,0.000219,-0.0,-0.0,0.0,-0.109794,-0.100727,0.024152,0.347746,-0.013317,-0.000798,0.000918,-0.002045,0.015205,-0.029245,-1.40623,0.043198,0.033831,-0.006524,0.000739,-0.004486,0.004878,-0.034372,-0.010524,0.004256,-0.84499,0.079722,0.021416,-0.051688,4.2e-05,0.000137,0.000105,0.00019,-1.5e-05,-0.000207,-0.284798
0.08638,-0.000136,0.377067,0.000688,0.002198,0.00162,0.00092,-0.01262,0.025893,-0.066961,-0.102466,0.02467,0.347557,0.014772,-0.008279,0.008759,-0.034024,-0.010112,0.008168,-1.406026,0.042318,0.034094,-0.00662,0.006444,0.001295,0.000221,-0.001853,-0.02363,0.034428,-0.815597,0.080377,0.022769,-0.051055,0.000179,0.000573,0.000422,0.000127,1.1e-05,-0.000129,-0.253773
0.086674,9.7e-05,0.37738,0.017025,0.031709,-0.026845,-1.608699,0.930257,-2.11726,-0.16005,-0.099587,0.021671,0.352516,0.015878,-0.015319,0.020052,-0.045021,-0.038978,-0.001062,-1.402857,0.043758,0.032593,-0.004147,0.007093,-0.002741,0.005438,-0.038761,-0.009244,0.005854,-0.802534,0.080517,0.022873,-0.050889,0.008236,0.011194,-0.008458,-0.028813,-0.391642,-0.278609,-0.310598
0.083485,0.005585,0.392768,-0.026395,-0.003571,0.013683,-0.028057,0.035105,-0.058298,0.461258,-0.097875,0.021031,0.353502,2.8e-05,-0.000121,-9e-05,0.0,0.0,0.0,-1.313818,0.04462,0.032269,-0.003647,1.5e-05,-6.8e-05,-5.1e-05,-2e-05,2e-06,-4e-06,-0.826538,0.078942,0.025637,-0.043206,-0.012792,0.003163,0.00206,0.026884,-0.009271,-0.002322,0.44756
0.090832,0.006371,0.393374,0.03109,0.020248,-0.003033,-0.072721,0.592227,0.750532,-1.914756,-0.100928,0.019591,0.352828,-0.024345,-0.012282,-0.006218,0.730387,-0.750624,-0.169327,0.352168,0.043091,0.031553,-0.003981,-0.01212,-0.006245,-0.003171,0.739622,-0.751144,-0.168498,0.260487,0.082592,0.026017,-0.042899,0.015091,0.004864,0.003061,-0.928847,0.854693,1.58883,-0.77222
0.123778,0.035596,0.356943,0.027602,0.048743,-0.045771,-0.459062,-1.442475,-0.844861,-1.905845,-0.117478,0.034199,0.318832,-0.015944,0.016899,-0.018403,-0.643166,0.434117,0.386687,0.307525,0.034829,0.038843,-0.020972,-0.007963,0.008466,-0.009181,-0.274147,0.225072,0.187932,0.23877,0.099058,0.040612,-0.061074,0.013864,0.024413,-0.022913,1.627215,-3.404823,-1.447955,-0.825943
0.120525,0.161333,0.253296,0.002825,0.069543,-0.072974,0.18005,-0.161659,-0.160353,-1.910233,-0.117175,0.033458,0.318899,0.000298,-0.001664,-0.001427,0.0,0.0,0.0,0.307512,0.03497,0.03848,-0.020949,0.000172,-0.000939,-0.000804,-0.000105,-0.000156,-0.000187,0.230605,0.097446,0.103471,-0.11292,0.002408,0.041467,-0.037752,0.196821,-0.199079,-0.172885,-0.828229
0.095916,0.054825,0.356267,-0.013602,-0.116302,0.076842,0.181317,0.352344,0.572641,-1.914212,-0.108031,0.02886,0.319231,-0.006094,0.029503,0.026005,-0.372622,0.173187,0.342605,0.331799,0.039547,0.036159,-0.020811,-0.009677,0.01351,0.012821,-0.869407,-1.415223,1.873099,0.260651,0.085169,0.050355,-0.061496,-0.006383,-0.053011,0.034132,1.415107,0.286087,-0.373431,-0.850763
0.081895,0.033267,0.364233,-0.01413,-0.002005,-0.001488,-0.001311,0.029253,-0.054435,-1.915936,-0.102838,0.040052,0.337218,-0.000354,0.00155,0.001171,-3.037471,-2.917747,-3.574178,0.346009,0.042139,0.041775,-0.011792,0.006077,0.002264,0.000965,0.004435,-0.030949,0.05328,0.287104,0.078136,0.039476,-0.057469,-0.007072,-0.001021,-0.000754,-0.001354,0.0293,-0.054466,-0.82333
0.083459,0.031962,0.361081,0.043257,0.029726,-0.026875,0.061243,-0.272305,0.307159,0.002609,-0.107401,0.041098,0.338374,-0.026128,-0.000102,0.00275,-0.280093,-0.280193,-0.34488,-1.406152,0.039866,0.042303,-0.011211,-0.006878,0.001577,0.001891,-0.952914,-0.939369,-1.122832,-0.78196,0.078915,0.038813,-0.05905,0.021703,0.015043,-0.013334,0.089968,-0.236237,0.323845,-0.23777
0.06931,0.008025,0.376474,0.003216,-0.034793,0.074866,0.060086,0.776806,-0.056923,-0.245713,-0.10487,0.055232,0.339664,0.013714,-0.006805,0.009441,-0.034287,-0.009211,0.008856,-1.406329,0.041117,0.049372,-0.010569,0.000734,-0.004406,0.004669,-0.034656,0.0156,-0.022542,-0.809556,0.07185,0.026865,-0.05134,0.001407,-0.017805,0.037127,0.083451,0.860067,-0.028525,-0.366933
0.067141,0.00318,0.382929,-0.000146,-0.000388,-0.000283,-0.0,-0.0,-0.0,-0.152246,-0.102461,0.051341,0.350632,-0.001661,0.007064,0.004637,0.002296,-0.01546,0.024209,-1.405529,0.042328,0.04742,-0.005089,0.005092,0.005264,0.002859,0.004505,-0.030365,0.054195,-0.823762,0.070759,0.024427,-0.048118,-0.000108,-0.000289,-0.00021,-2e-06,-5e-06,-2e-06,-0.322844
0.07037,0.003098,0.380862,0.02857,0.014386,-0.022344,3.470642,0.44167,-4.242794,-0.192002,-0.096284,0.046235,0.359188,-0.010863,-0.007569,-0.003678,0.311674,0.771232,1.396106,-1.40573,0.045417,0.044883,-0.000797,-0.005413,-0.00387,-0.00187,0.00345,0.035259,-0.045275,-0.817067,0.072351,0.024381,-0.049142,0.014356,0.007359,-0.011063,0.077501,-0.064527,0.081331,-0.341296
0.086763,0.012275,0.383753,0.001181,0.011115,-0.008664,0.034662,-0.017682,0.016049,-0.261238,-0.100822,0.038512,0.363345,-0.000156,0.000669,0.000429,0.200482,0.784718,1.52394,-1.403548,0.043145,0.041013,0.001278,-0.006381,-0.000941,2.8e-05,0.907256,2.445882,4.936968,-0.840908,0.080568,0.028969,-0.04771,0.000209,0.000665,0.000441,9.1e-05,-3e-06,-0.000114,-0.404
0.087475,0.01137,0.386843,0.000629,0.002031,0.001328,-0.092134,-0.184499,-0.085591,-0.333242,-0.103422,0.036889,0.363932,0.001859,-0.010633,0.008547,0.200619,0.706085,-0.072936,-1.401839,0.041845,0.040202,0.001566,0.00614,0.001319,0.000246,0.982849,2.378934,-0.639221,-0.81919,0.080925,0.028524,-0.046166,0.000826,0.006345,-0.003839,-0.109841,-0.299007,-0.110082,-0.440904
0.081455,0.019757,0.397988,-0.010455,-0.005547,0.027643,-0.061803,-0.045777,0.144757,0.406847,-0.101176,0.03495,0.364993,1.1e-05,-4.8e-05,-3.1e-05,0.0,0.0,0.0,-1.399485,0.042969,0.039228,0.002099,4e-06,-2.1e-05,-1.3e-05,-1.8e-05,-8e-06,-1.7e-05,-0.829314,0.077915,0.032714,-0.040596,-0.005192,-0.002624,0.013923,-0.062353,-0.045405,0.145402,0.360363
0.082692,0.020687,0.404649,0.02829,0.005779,0.002793,-0.113927,0.385816,0.78518,-1.916283,-0.102121,0.034466,0.365275,-0.000194,0.000857,0.000552,-2.803447,-2.18378,-5.084453,-0.478378,0.042496,0.038987,0.002241,-0.000149,0.000392,0.000314,-2.866601,-2.150366,-5.0561,-0.492772,0.078532,0.033175,-0.037266,0.01424,0.003166,0.001538,-0.141296,0.349606,0.773007,-0.746094
0.133949,0.061581,0.351843,0.033944,0.033935,-0.067392,-0.237535,-1.024253,-0.734787,-1.765905,-0.118737,0.039229,0.313596,-0.003456,0.019528,0.016915,-0.179516,0.156849,0.206187,0.147526,0.034191,0.041353,-0.023612,-0.000901,0.004362,0.012411,-0.230971,0.279522,0.023967,0.00755,0.104135,0.053602,-0.063621,0.011089,0.017566,-0.033212,2.895867,-2.765643,-4.278781,-0.790345
0.099873,0.157737,0.274514,-0.008158,0.026128,-0.021878,0.096634,-0.041332,-0.020355,-1.914237,-0.117024,0.03784,0.319472,0.026586,0.000471,-0.002805,3.974486,2.447893,2.979645,0.290852,0.03503,0.040675,-0.020658,0.006801,-0.000725,-0.001418,0.000547,-0.020243,0.033725,0.18717,0.087119,0.101677,-0.10234,-0.004078,0.013011,-0.01098,0.100025,-0.018293,-0.037277,-0.826922
0.084169,0.051169,0.36561,-0.025889,-0.007336,0.010631,-0.071697,0.007704,-0.099349,-1.917008,-0.1014,0.035067,0.319628,0.038304,0.006065,0.03452,0.218057,-0.3736,-0.115014,0.455909,0.042844,0.039283,-0.020597,0.020265,-0.003141,0.020572,0.344129,-0.509873,-0.284296,0.42884,0.079283,0.048429,-0.056785,-0.007041,-0.00525,0.004325,-0.059546,0.02134,-0.088535,-0.824963
0.079748,0.046479,0.366502,-0.013665,-0.001672,-0.001056,-0.02778,-0.015391,-0.047463,-1.915529,-0.101536,0.045612,0.331508,-0.000272,0.001151,0.000884,-0.0,-0.0,0.0,0.395879,0.042789,0.044559,-0.014644,-0.0002,0.000842,0.000646,0.000261,0.001606,-0.001791,0.358462,0.077068,0.046083,-0.056333,-0.006876,-0.000967,-0.000607,-0.01029,-0.007746,-0.041845,-0.806674
0.080682,0.051609,0.360496,0.034412,0.079447,-0.070841,0.221897,-0.90671,0.389027,-0.212916,-0.10495,0.049987,0.337852,-0.021172,0.036588,0.027654,-2.300382,-3.201729,-4.281147,-1.403612,0.041093,0.046721,-0.011491,-0.017911,0.023316,0.010245,0.25294,-0.675245,-0.601275,-0.80678,0.077517,0.04862,-0.059308,0.016664,0.034548,-0.031148,0.654743,-2.210805,1.721044,-0.347012
0.06832,0.027852,0.381983,-0.036749,-0.010061,0.040458,0.071289,0.339981,0.017912,-0.120657,-0.101894,0.069344,0.343672,0.000576,-0.00232,-0.001477,0.038154,-0.00782,-0.04499,-1.403568,0.042609,0.056432,-0.008558,0.000147,-0.000593,-0.000374,0.018549,-0.010689,-0.026715,-0.788981,0.071364,0.036773,-0.048609,-0.018368,-0.004945,0.020303,0.159853,0.36515,0.246607,-0.282022
0.054126,0.011795,0.4021,0.000161,0.000383,0.000247,0.0,0.0,0.0,-0.463915,-0.098626,0.06597,0.350156,0.013995,-0.011852,0.020879,-0.032926,-0.204201,-0.449876,-1.40333,0.044231,0.054742,-0.005337,0.006148,-0.000474,0.006259,0.347941,-2.075043,-5.079368,-0.80629,0.06425,0.028735,-0.038538,0.000126,0.000299,0.000194,-1.8e-05,3e-06,3.6e-05,-0.559126
