MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.061543,0.011,0.385534,-0.00062,-0.001565,-0.001096,-0.321293,-1.62455,-0.554806,0.51584,-0.104392,0.040791,0.355145,0.037311,0.005726,0.000148,0.006019,-0.045474,0.087832,-0.785662,0.037592,0.038401,-0.007236,0.012565,0.001341,-0.000359,0.007498,-0.034961,0.055574,-0.733299,0.068334,0.028061,-0.050561,-0.000286,-0.000772,-0.000532,-0.355856,-1.773948,-0.632,0.516959
0.054566,0.019015,0.385809,0.013366,0.005136,-0.012433,0.236817,0.622281,-0.563797,0.519723,-0.103038,0.042752,0.353745,0.009376,0.0176,-0.004945,-0.078821,0.034814,0.328561,-0.781396,0.03828,0.03937,-0.007939,-0.001548,0.007998,-0.002395,-0.088522,0.054948,0.322659,-0.785879,0.064842,0.03207,-0.050416,0.005972,-0.002645,-0.001667,0.427903,0.933143,-1.170596,0.511407
0.04859,0.021915,0.386546,0.028855,0.007877,-0.010209,0.036297,-0.063282,0.099271,0.254199,-0.101778,0.044666,0.353575,-0.000329,0.001408,0.000935,0.0,-0.0,0.0,-0.770959,0.038914,0.040334,-0.008026,-2.8e-05,0.000129,8.9e-05,-0.000163,0.000361,-0.000673,-0.816414,0.061836,0.033514,-0.050051,0.013799,-0.000959,-0.000363,0.003963,-0.037754,0.093576,0.183356
0.052419,0.027387,0.380509,-0.000303,-0.000698,-0.000475,0.0,0.0,0.0,0.521332,-0.107668,0.044366,0.35414,-0.027943,0.011576,0.009953,-0.05373,-0.104647,0.450864,-0.799514,0.035982,0.04017,-0.007754,-0.008087,0.008011,0.005868,-0.006794,-0.189188,0.671312,-0.801555,0.063768,0.036256,-0.053072,0.006743,0.002806,-0.005995,0.034833,-0.036178,0.044068,0.517939
0.043963,0.024919,0.381941,-0.000683,-0.008404,0.010431,0.131115,0.243195,0.1284,0.519753,-0.108103,0.047168,0.354533,0.001246,-0.005812,-0.003751,-0.005864,0.019281,-0.021521,-0.768655,0.03575,0.04159,-0.007544,0.000628,-0.002912,-0.00188,0.012116,0.010211,-0.032611,-0.799758,0.059543,0.035019,-0.052365,-0.006817,-0.002689,0.006077,0.25112,0.396492,0.146048,0.520388
0.044617,0.024559,0.386221,0.000203,0.000442,0.000302,-0.019739,-0.028597,-0.013843,-0.421939,-0.105919,0.046613,0.353422,-0.00062,0.002805,0.001835,0.0,-0.0,-0.0,0.027151,0.036844,0.041307,-0.008103,-0.000341,0.001538,0.001007,1.6e-05,6.2e-05,-1.2e-05,-0.233793,0.059872,0.03484,-0.050217,0.000117,0.000253,0.000169,0.005563,-0.006434,0.000576,-0.475358
0.06339,0.037765,0.373725,0.012695,-0.002239,-0.001327,0.725468,0.980608,1.036531,-0.739786,-0.118813,0.043496,0.353995,-0.031519,0.040807,-0.032321,-0.072767,-0.205097,-0.741391,0.52261,0.030394,0.039757,-0.007811,-0.01572,0.020237,-0.016245,-0.103062,-0.16951,-0.708487,0.521262,0.069249,0.041445,-0.056463,0.006478,-0.00081,-0.000474,0.727664,0.97494,1.033911,-0.74544
0.067001,0.03232,0.378816,0.0,0.0,0.0,0.0,0.0,0.0,-1.015038,-0.111879,0.052999,0.332572,0.012323,0.002178,0.000248,0.002045,-0.015205,0.029245,0.446669,0.033858,0.044501,-0.018527,0.01132,0.008055,-0.003364,0.040559,-0.037347,0.078359,0.423615,0.071064,0.038722,-0.053919,-1e-06,-2e-06,-1e-06,9.7e-05,-2.5e-05,-8.2e-05,-0.810267
0.065927,0.030896,0.376539,-0.002889,-0.007444,-0.004924,-0.406791,0.107906,0.246273,-0.245508,-0.111141,0.053502,0.331812,-0.000461,0.002208,0.001615,-0.460256,-0.103433,-0.157102,-0.374371,0.034232,0.044755,-0.018906,-0.006424,0.000174,0.000806,-1.547586,-0.361098,-0.570635,-0.506815,0.070527,0.038011,-0.055057,-0.006837,0.003494,-0.005673,-1.335245,0.331747,0.872912,-0.437964
0.077261,0.023602,0.37755,-0.006858,0.005212,0.035182,-1.600995,-0.129656,0.642976,0.456789,-0.117822,0.056373,0.331143,0.000956,-0.005083,-0.003656,-5.349456,-0.579346,-1.426752,-0.612496,0.030891,0.046193,-0.019239,0.000568,-0.003013,-0.002172,-0.020926,0.15354,-0.176233,-0.774285,0.076194,0.034354,-0.05457,0.003239,0.005966,0.01184,-5.139816,-0.398478,1.948705,0.431721
