MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.077387,0.013911,0.362983,-0.000449,-0.008596,0.010318,-0.033694,0.005222,0.009917,0.354969,-0.146169,0.034217,0.336937,-0.00106,0.019219,0.04647,-0.233232,0.010488,0.580267,0.437255,0.020944,0.035035,-0.013103,-0.000599,0.010059,0.023575,-0.338676,0.12603,0.682946,0.370055,0.075886,0.031472,-0.05968,-0.000517,-0.005116,0.004536,-0.03432,0.019115,-0.015323,0.284433
0.077323,0.013653,0.363241,0.0,0.0,0.0,0.0,0.0,0.0,0.379972,-0.143888,0.038003,0.351374,0.011667,0.009491,0.005208,0.004017,-0.030403,0.053649,0.471696,0.022078,0.036933,-0.005867,0.005848,0.004575,0.002484,0.003967,-0.03062,0.053927,0.457906,0.075853,0.031336,-0.05955,0.0,-1e-06,0.0,2.5e-05,4e-06,-4.5e-05,0.317581
0.074001,0.013027,0.363186,0.000131,0.000366,0.000281,0.0,0.0,0.0,0.457483,-0.1481,0.036173,0.334524,0.003411,-0.025372,0.04571,-0.047226,-0.213881,0.099255,0.476854,0.01998,0.035988,-0.014316,0.001601,-0.011723,0.023582,-0.058937,-0.200455,0.108129,0.455946,0.074191,0.031022,-0.059579,7.3e-05,0.000211,0.000162,2.2e-05,-0.0,-2.7e-05,0.423883
0.073847,0.012855,0.363634,0.000159,0.000441,0.000339,0.0,0.0,0.0,0.45565,-0.142742,0.039182,0.357076,-0.000328,0.00109,-0.014468,0.038755,0.084272,-0.191624,-0.046821,0.022656,0.03752,-0.003001,-0.000154,0.000555,-0.007226,0.005902,0.040224,0.01434,-0.177295,0.074115,0.030937,-0.059354,9.4e-05,0.000263,0.000201,3e-06,6e-06,6e-06,0.425026
0.07368,0.012674,0.364073,-1.4e-05,-3.8e-05,-2.9e-05,0.0,0.0,0.0,0.457931,-0.146179,0.038375,0.354798,8e-06,-0.003306,-0.017375,0.457338,-0.619053,-0.456906,-0.112989,0.020937,0.037124,-0.004152,8e-06,-0.001621,-0.008667,0.524421,-0.713104,-0.514979,-0.1319,0.074031,0.030846,-0.059135,-2e-06,-1e-05,-7e-06,-3e-06,4e-06,1.4e-05,0.427802
0.074763,0.015114,0.346844,0.007445,-0.004539,-0.038294,0.068189,-0.010185,-0.014908,0.509327,-0.138385,0.045904,0.331705,0.063663,-0.002664,-0.023816,-0.54913,0.047507,-0.047693,-1.320384,0.024833,0.040899,-0.015691,0.031858,-0.001618,-0.012115,-0.544924,0.035605,-0.056636,-0.781143,0.074574,0.032074,-0.067743,0.00368,-0.002461,-0.019309,0.068256,-0.009813,-0.015076,0.509938
0.080048,0.015052,0.33915,0.006656,0.034165,-0.005947,-5.832128,0.853257,1.279523,0.398021,-0.106386,0.053024,0.313803,0.014934,-0.003186,-0.037813,0.024703,-0.547412,-0.182103,-1.366134,0.040823,0.044462,-0.024611,0.007505,-0.001667,-0.01898,-0.021494,-0.640451,-0.276361,-0.772162,0.077206,0.032003,-0.071611,-0.002681,0.024218,-0.006026,-2.027666,2.018912,-1.394632,0.391389
0.066772,0.024421,0.349151,-0.008112,0.015776,0.012145,-0.01992,-0.177103,0.154276,0.473091,-0.106701,0.047821,0.314309,-1e-06,4e-06,4e-06,-0.000677,-0.00961,-0.00712,-1.352778,0.040676,0.041846,-0.024398,-4e-06,1.8e-05,1.6e-05,0.002027,0.013844,0.01114,-0.777387,0.070584,0.036723,-0.066593,0.002127,0.005488,0.004439,-0.01695,-0.168605,0.162853,0.452459
0.058772,0.020059,0.353896,-0.000773,-0.00186,-0.001517,-0.0,-0.0,0.0,0.047345,-0.105954,0.04791,0.314614,-0.000261,0.001165,0.000987,0.018219,-0.118623,0.158573,-1.264347,0.04105,0.04189,-0.024245,-0.000162,0.000718,0.000607,1.2e-05,8e-06,2.6e-05,-0.775102,0.066576,0.034537,-0.064225,-0.000436,-0.001051,-0.000856,0.000299,0.000112,-0.000263,-0.099953
0.063824,0.002312,0.358433,0.009622,-0.020595,0.00109,-0.037804,0.112447,-0.186201,-0.757016,-0.125505,0.046961,0.321152,-0.038781,-0.000488,0.003842,0.038025,-0.177364,0.035032,0.390171,0.031275,0.041414,-0.020978,-0.019401,-0.000227,0.001969,0.027587,-0.130731,0.069734,0.357319,0.069097,0.025666,-0.061961,-0.001761,-0.008136,0.002,-0.047697,0.228967,-0.392219,-0.777609
