MTML_position_x,MTML_position_y,MTML_position_z,MTML_velocity_linear_x,MTML_velocity_linear_y,MTML_velocity_linear_z,MTML_velocity_angular_x,MTML_velocity_angular_y,MTML_velocity_angular_z,MTML_orientation_w,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_velocity_linear_x,MTMR_velocity_linear_y,MTMR_velocity_linear_z,MTMR_velocity_angular_x,MTMR_velocity_angular_y,MTMR_velocity_angular_z,MTMR_orientation_w,PSM1_position_x,PSM1_position_y,PSM1_position_z,PSM1_velocity_linear_x,PSM1_velocity_linear_y,PSM1_velocity_linear_z,PSM1_velocity_angular_x,PSM1_velocity_angular_y,PSM1_velocity_angular_z,PSM1_orientation_w,PSM2_position_x,PSM2_position_y,PSM2_position_z,PSM2_velocity_linear_x,PSM2_velocity_linear_y,PSM2_velocity_linear_z,PSM2_velocity_angular_x,PSM2_velocity_angular_y,PSM2_velocity_angular_z,PSM2_orientation_w
0.151243,0.043553,0.40251,-0.000188,-0.001717,-0.000751,-0.000895,0.012522,-0.025942,0.467339,-0.199001,0.021635,0.323573,0.000199,0.002355,0.001982,6.5e-05,-6.8e-05,-5.1e-05,0.534839,0.020315,0.03192,-0.014969,0.000313,-0.004417,0.004934,-0.050255,0.128986,-0.178211,0.523548,0.091412,0.046174,-0.038688,-4e-06,-4.3e-05,-2e-05,-2.8e-05,3.7e-05,2.8e-05,0.441682
0.150742,0.042644,0.400215,-0.000485,-0.004358,-0.001956,4.9e-05,8.7e-05,4.1e-05,0.446881,-0.19887,0.017706,0.335254,-0.002165,0.023408,-0.032168,-0.154014,0.36483,0.056608,-1.405776,0.02038,0.029943,-0.00912,-0.001089,0.011455,-0.01628,-0.364682,0.50465,0.348122,-0.612954,0.091161,0.045718,-0.039837,-0.000281,-0.002537,-0.001139,-0.003642,0.009544,-0.027265,0.423067
0.139991,0.041768,0.388065,-0.012384,-0.002285,-0.000753,-0.151251,-0.187908,-0.46992,0.442867,-0.186169,0.041627,0.305286,0.02847,0.004421,0.036461,3.368162,4.640121,2.524653,-1.404548,0.026709,0.041894,-0.024155,0.020763,0.00284,0.018292,0.402113,2.150197,1.415982,-0.75616,0.085794,0.045272,-0.045911,-0.006099,-0.000595,-9.2e-05,-0.06916,-0.190891,-1.12647,0.407554
0.116117,0.036294,0.379243,0.000603,0.010272,-0.008985,0.329746,-0.561151,0.033975,0.52417,-0.14777,0.040451,0.343988,-0.000736,0.008727,0.005971,-0.347753,0.419433,0.337466,-1.402259,0.045929,0.041322,-0.004767,-0.000361,0.004227,0.002893,-0.309261,0.388933,0.306719,-0.854461,0.073849,0.042539,-0.050319,0.006014,-0.001262,-0.000876,1.162472,-1.298247,0.397059,0.522837
0.117337,0.039849,0.380537,0.000469,0.009685,-0.009292,0.034954,-0.016604,0.016554,0.523476,-0.144951,0.045044,0.326614,0.000852,-0.006316,0.011323,-0.034435,-0.006952,0.004988,-1.402238,0.047338,0.04362,-0.013465,0.006726,-0.002445,0.005596,-0.034463,-0.020434,0.036135,-0.850868,0.074457,0.044307,-0.049672,-0.000126,-0.000593,-0.000326,0.000721,0.001885,0.001075,0.523327
0.116048,0.040224,0.377624,0.000195,0.000873,0.000492,0.0,-0.0,-0.0,0.479157,-0.14124,0.044653,0.329007,0.000101,-0.000951,-0.000711,0.0,-0.0,-0.0,-1.403368,0.049194,0.043416,-0.012262,6.6e-05,-0.000576,-0.000429,-0.000316,-0.000618,0.000154,-0.861972,0.073814,0.044505,-0.051134,0.000128,0.000574,0.000323,-2e-06,2.1e-05,-1e-05,0.467972
0.11693,0.03881,0.375705,0.012096,-0.002103,-0.001468,-0.003081,0.082611,-0.143854,-1.238037,-0.138634,0.043739,0.329695,0.011857,0.008127,0.004854,-0.013253,-0.077105,0.054884,-0.097733,0.050492,0.042956,-0.01192,-0.000341,0.003196,0.002402,-0.089779,-0.116829,0.038914,-0.571478,0.074251,0.043799,-0.052092,0.006051,-0.001046,-0.000735,0.001056,-0.014715,0.029536,-0.722253
0.126564,0.032763,0.385854,0.004529,-0.073908,0.01812,0.611213,-0.416628,-1.920206,-1.91849,-0.181939,0.05059,0.30247,0.019113,-0.059253,-0.137985,0.173641,0.030057,-0.019279,0.514953,0.028834,0.046412,-0.025476,0.009623,-0.02941,-0.068726,0.098796,-0.02575,0.09449,0.517507,0.079076,0.040788,-0.047011,0.002165,-0.03737,0.00884,0.595836,-0.461992,-1.880685,-0.783977
0.110327,0.027064,0.387002,0.011884,0.003585,-0.013244,-0.392691,-0.206788,-0.028936,-1.918277,-0.124267,0.030787,0.297434,-0.010183,-0.028505,0.103954,0.098228,-0.418482,-0.072363,0.514099,0.057684,0.036509,-0.028073,-0.012694,-0.009811,0.048026,0.155505,-0.056392,-0.079353,0.508526,0.070949,0.037925,-0.046439,-0.000312,0.002414,-0.006143,-0.300987,-0.326454,0.255932,-0.823657
0.111362,0.024848,0.383139,0.023247,-0.003532,-0.017773,-0.151402,-0.114045,0.01396,-1.921489,-0.143794,0.036348,0.32576,-0.013904,0.012054,0.027347,0.063031,-0.211566,0.129637,0.485609,0.047923,0.039265,-0.013892,-0.006263,-0.000143,0.017099,0.002236,-0.101048,-0.050138,0.472275,0.071463,0.036823,-0.048367,0.005395,-0.000828,-0.008212,-0.082431,-0.109471,0.099924,-0.854682
