File_name,Time,Errors,Score
X01_Post_and_Sleeve_01,118.4521,0,118.4521
X01_Post_and_Sleeve_02,105.4607,0,105.4607
X01_Post_and_Sleeve_03,97.4461,0,97.4461
X01_Post_and_Sleeve_04,84.6251,0,84.6251
X01_Post_and_Sleeve_05,86.8607,1,101.8607
X01_Post_and_Sleeve_06,97.89,0,97.89
X01_Pea_on_a_Peg_01,119.9254,2,149.9254
X01_Pea_on_a_Peg_02,98.5375,0,98.5375
X01_Pea_on_a_Peg_03,113.6511,1,128.6511
X01_Pea_on_a_Peg_04,86.9737,1,101.9737
X01_Pea_on_a_Peg_05,113.1424,0,113.1424
X01_Pea_on_a_Peg_06,132.1875,0,132.1875
X01_Wire_Chaser_I_01,39.8057,0,39.8057
X01_Wire_Chaser_I_02,22.2666,0,22.2666
X01_Wire_Chaser_I_03,36.2733,1,46.2733
X01_Wire_Chaser_I_04,27.7619,2,47.7619
X01_Wire_Chaser_I_05,27.7685,0,27.7685
X01_Wire_Chaser_I_06,28.2598,1,38.2598
X02_Post_and_Sleeve_01,160.1512,0,160.1512
X02_Post_and_Sleeve_02,128.3985,0,128.3985
X02_Post_and_Sleeve_03,117.5873,0,117.5873
X02_Post_and_Sleeve_04,116.4096,0,116.4096
X02_Post_and_Sleeve_05,103.0372,0,103.0372
X02_Post_and_Sleeve_06,120.1746,0,120.1746
X02_Pea_on_a_Peg_01,144.924,0,144.924
X02_Pea_on_a_Peg_02,138.1918,0,138.1918
X02_Pea_on_a_Peg_03,108.7951,0,108.7951
X02_Pea_on_a_Peg_04,171.2641,0,171.2641
X02_Pea_on_a_Peg_05,103.2994,0,103.2994
X02_Pea_on_a_Peg_06,152.5151,0,152.5151
X02_Wire_Chaser_I_01,43.0208,0,43.0208
X02_Wire_Chaser_I_02,36.777,0,36.777
X02_Wire_Chaser_I_03,35.3505,0,35.3505
X02_Wire_Chaser_I_04,25.2782,0,25.2782
X02_Wire_Chaser_I_05,26.9465,0,26.9465
X02_Wire_Chaser_I_06,30.2731,0,30.2731
X03_Post_and_Sleeve_01,217.7242,0,217.7242
X03_Post_and_Sleeve_02,272.7747,0,272.7747
X03_Post_and_Sleeve_03,231.9116,2,261.9116
X03_Post_and_Sleeve_04,156.25799999999998,1,171.25799999999998
X03_Post_and_Sleeve_05,121.9854,0,121.9854
X03_Pea_on_a_Peg_01,120.6913,1,135.6913
X03_Pea_on_a_Peg_02,105.7792,2,135.7792
X03_Pea_on_a_Peg_03,108.2548,1,123.2548
X03_Pea_on_a_Peg_04,169.9752,3,214.9752
X03_Pea_on_a_Peg_05,97.8243,2,127.8243
